TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide
1897	?ÛÞ	29	23	35	1			0						1	100	3	10503406		29400	2940		1	3	62	4	8	3	5	100	71	45	47																																																						5	???Íëø·	51	Êµ?ø¢	12													
4003	?ÛÞ	29	23	35	1			0						20	100	4	11968874		29400	2940		1	3	79	6	8	4	5	100	71	75	76																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	12													
503	??	32	26	38	1			0						1	400	1			63000	6300		1	1	44	1	4	1	3	100	71	50	52																																																						1	??Íëø·	11	Êµ?ø¢	10													
1898	?â¢?ìÓ?	35	29	41	1			0						1	300	2	16750848		75600	7560		1	2	53	2	6	2	4	100	71	53	55																																																						3	??Íëø·	31	Êµ?ø¢	11													
1899	ø¢üØ	38	32	44	1			0						1	100	3	10503406		88200	8820		1	3	62	4	8	3	5	100	71	57	59																																																						5	???Íëø·	51	Êµ?ø¢	12													
4004	ø¢üØ	38	32	44	1			0						20	100	4	11968874		88200	8820		1	3	79	6	8	4	5	100	71	76	79																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	12													
504	?ìÓ??	41	35	47	1			0						1	400	1			160000	16000		1	1	88	1	4	1	3	100	71	63	65																																																						1	??Íëø·	11	Êµ?ø¢	11													
1900	???	44	38	50	1			0						1	300	2	16750848		192000	19200		1	2	106	2	6	2	4	100	71	67	69																																																						3	??Íëø·	31	Êµ?ø¢	12													
1901	ÐîúìñýìÓ	47	41	53	1			0						1	100	3	10503406		224000	22400		1	3	123	4	8	3	5	100	71	71	73																																																						5	???Íëø·	51	Êµ?ø¢	13													
4005	ÐîúìñýìÓ	47	41	53	1			0						20	100	4	11968874		224000	22400		1	3	158	6	8	4	5	100	71	93	99																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	13													
3200	Í¯÷îÞÙ?Óï	50	44	56	1			0						1	400	1			215000	21500		1	1	88	1	4	1	3	100	71	77	79																																																						1	??Íëø·	11	Êµ?ø¢	11													
3201	ù«?ÞÙèÝñý?	53	47	59	1			0						1	300	2	16750848		258000	25800		1	2	106	2	6	2	4	100	71	81	83																																																						3	??Íëø·	31	Êµ?ø¢	12													
3202	Ù¤?ñýìÓ	55	49	61	1			0						1	100	3	10503406		301000	30100		1	3	123	4	8	3	5	100	71	85	87																																																						5	???Íëø·	51	Êµ?ø¢	13													
4006	Ù¤?ñýìÓ	55	49	61	1			0						20	100	4	11968874		301000	30100		1	3	158	6	8	4	5	100	71	110	117																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	13													
3203	?Ü²?Óï	58	52	64	1			0						1	400	1			259000	25900		1	1	88	1	4	1	3	100	71	91	93																																																						1	??Íëø·	11	Êµ?ø¢	12													
3204	?ÞÍ?Óï	61	55	67	1			0						1	300	2	16750848		310800	31080		1	2	106	2	6	2	4	100	71	95	97																																																						3	??Íëø·	31	Êµ?ø¢	13													
3205	???Óï	63	57	69	1			0						1	100	3	10503406		362600	36260		1	3	123	4	8	3	5	100	71	99	101																																																						5	???Íëø·	51	Êµ?ø¢	14													
4007	???Óï	63	57	69	1			0						20	100	4	11968874		362600	36260		1	3	158	6	8	4	5	100	71	132	139																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	14													
3206	öñêÆñý?	66	60	72	1			0						1	400	1			319000	31900		1	1	88	1	4	1	3	100	71	106	108																																																						1	??Íëø·	11	Êµ?ø¢	13													
3207	?÷÷íºñý?	69	63	75	1			0						1	300	2	16750848		382800	38280		1	2	106	2	6	2	4	100	71	110	112																																																						3	??Íëø·	31	Êµ?ø¢	14													
3208	ñµÞÙñýÒÁ	71	65	77	1			0						1	100	3	10503406		446600	44660		1	3	123	4	8	3	5	100	71	114	116																																																						5	???Íëø·	51	Êµ?ø¢	15													
4008	ñµÞÙñýÒÁ	71	65	77	1			0						20	100	4	11968874		446600	44660		1	3	158	6	8	4	5	100	71	144	164																																																						7	ÏÛÝ¤?Íëø·	71	Êµ?ø¢	15													
3209	?ä³	74	68	80	1			0						1	400	1			435000	43500		1	1	88	1	4	1	3	100	71	121	123																																																										13													
3210	?ÎÃñý?ä³	76	70	82	1			0						1	300	2	16750848		522000	52200		1	2	106	2	6	2	4	100	71	125	127																																																										14													
3211	öñêÆñý?ä³	78	72	84	1			0						1	100	3	10503406		609000	60900		1	3	123	4	8	3	5	100	71	129	131																																																										15													
10	??Ý¨	1	1	7	1			1						1	400	1			30	15		1	1	41	1	4	1	3	100	65	10	16																																																						1	??Íëø·	12	Êµ???	8													
1902	??ÓÞÝ¨	1	1	7	1			1						1	300	2	16750848		800	80		1	2	49	2	6	2	4	100	65	14	20																																																						3	??Íëø·	32	Êµ???	9													
35	?ÔàÓÞÝ¨	5	1	11	1			1						1	400	1			2000	200		1	1	41	1	4	1	3	100	65	16	23																																																						1	??Íëø·	12	Êµ???	8													
1903	??íºÓÞÝ¨	8	2	14	1			1						1	300	2	16750848		2400	240	     	1	2	49	2	6	2	4	100	65	20	27																																																						3	??Íëø·	32	Êµ???	9													
2216	Ðº×ùÓÞÝ¨	11	5	17	1			1						1	100	3	10503406		2800	280		1	3	57	4	8	3	5	100	65	36	46																																																						5	???Íëø·	52	Êµ???	10													
4009	Ðº×ùÓÞÝ¨	11	5	17	1			1						20	100	4	11968874		2800	280		1	3	73	6	8	4	5	100	65	29	56																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	10													
491	ÝÏáïíºÓÞÝ¨	14	8	20	1			1						1	400	1			6000	600		1	1	41	1	4	1	3	100	65	26	33																																																						1	??Íëø·	12	Êµ???	9													
1904	ÎÊ?ÞÍñýÝ¨	17	11	23	1			1						1	300	2	16750848		7200	720		1	2	49	2	6	2	4	100	65	30	37																																																						3	??Íëø·	32	Êµ???	10													
1905	??ËÝÝ¨	20	14	26	1			1						1	100	3	10503406		8400	840		1	3	57	4	8	3	5	100	65	34	41																																																						5	???Íëø·	52	Êµ???	11													
4010	??ËÝÝ¨	20	14	26	1			1						20	100	4	11968874		8400	840		1	3	73	6	8	4	5	100	65	59	69																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	11													
1906	úìá£?Ý¨	23	17	29	1			1						1	400	1			21000	2100		1	1	41	1	4	1	3	100	65	38	45																																																						1	??Íëø·	12	Êµ???	10													
507	Ù³?íº?Ý¨	26	20	32	1			1						1	300	2	16750848		25200	2520		1	2	49	2	6	2	4	100	65	42	49																																																						3	??Íëø·	32	Êµ???	11													
2224	?ûë?Ý¨	29	23	35	1			1						1	100	3	10503406		29400	2940		1	3	57	4	8	3	5	100	65	46	53																																																						5	???Íëø·	52	Êµ???	12													
4011	?ûë?Ý¨	29	23	35	1			1						20	100	4	11968874		29400	2940		1	3	73	6	8	4	5	100	65	76	87																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	12													
508	ËÝÝ¨	32	26	38	1			1						1	400	1			63000	6300		1	1	41	1	4	1	3	100	65	51	58																																																						1	??Íëø·	12	Êµ???	10													
1907	Ûù?ÓÞÝ¨	35	29	41	1			1						1	300	2	16750848		75600	7560		1	2	49	2	6	2	4	100	65	55	62																																																						3	??Íëø·	32	Êµ???	11													
2217	?Ðºà¬ÓìÓÞÝ¨	38	32	44	1			1						1	100	3	10503406		88200	8820		1	3	57	4	8	3	5	100	65	59	66																																																						5	???Íëø·	52	Êµ???	12													
4012	?Ðºà¬ÓìÓÞÝ¨	38	32	44	1			1						20	100	4	11968874		88200	8820		1	3	73	6	8	4	5	100	65	96	106																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	12													
509	áó?	41	35	47	1			1						1	400	1			160000	16000		1	1	81	1	4	1	3	100	65	66	73																																																						1	??Íëø·	12	Êµ???	11													
1909	ËÝäÇÓÞÝ¨	44	38	50	1			1						1	300	2	16750848		192000	19200		1	2	97	2	6	2	4	100	65	70	77																																																						3	??Íëø·	32	Êµ???	12													
2220	àú?ÓÞÝ¨	47	41	53	1			1						1	100	3	10503406		224000	22400		1	3	113	4	8	3	5	100	65	74	81																																																						5	???Íëø·	52	Êµ???	13													
4013	àú?ÓÞÝ¨	47	41	53	1			1						20	100	4	11968874		224000	22400		1	3	146	6	8	4	5	100	65	94	109																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	13													
3212	?ÎÃÓÞÝ¨	50	44	56	1			1						1	400	1			215000	21500		1	1	81	1	4	1	3	100	65	81	88																																																						1	??Íëø·	12	Êµ???	11													
3213	úì×µÓÞÝ¨	53	47	59	1			1						1	300	2	16750848		258000	25800		1	2	97	2	6	2	4	100	65	85	92																																																						3	??Íëø·	32	Êµ???	12													
3214	Úä?ËÝÝ¨	55	49	61	1			1						1	100	3	10503406		301000	30100		1	3	113	4	8	3	5	100	65	89	96																																																						5	???Íëø·	52	Êµ???	13													
4014	Úä?ËÝÝ¨	55	49	61	1			1						20	100	4	11968874		301000	30100		1	3	146	6	8	4	5	100	65	119	131																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	13													
3215	??ËÝÝ¨	58	52	64	1			1						1	400	1			259000	25900		1	1	81	1	4	1	3	100	65	97	103																																																						1	??Íëø·	12	Êµ???	12													
3216	úì?ÓÞÝ¨	61	55	67	1			1						1	300	2	16750848		310800	31080		1	2	97	2	6	2	4	100	65	101	107																																																						3	??Íëø·	32	Êµ???	13													
3217	ýÙàÁ?	63	57	69	1			1						1	100	3	10503406		362600	36260		1	3	113	4	8	3	5	100	65	105	111																																																						5	???Íëø·	52	Êµ???	14													
4015	ýÙàÁ?	63	57	69	1			1						20	100	4	11968874		362600	36260		1	3	146	6	8	4	5	100	65	145	154																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	14													
3218	úìá£?ìýíº	66	60	72	1			1						1	400	1			319000	31900		1	1	81	1	4	1	3	100	65	113	119																																																						1	??Íëø·	12	Êµ???	13													
3219	àÁ?ÓÞÝ¨	69	63	75	1			1						1	300	2	16750848		382800	38280		1	2	97	2	6	2	4	100	65	117	123																																																						3	??Íëø·	32	Êµ???	14													
3220	??	71	65	77	1			1						1	100	3	10503406		446600	44660		1	3	113	4	8	3	5	100	65	121	127																																																						5	???Íëø·	52	Êµ???	15													
4016	??	71	65	77	1			1						20	100	4	11968874		446600	44660		1	3	146	6	8	4	5	100	65	169	178																																																						7	ÏÛÝ¤?Íëø·	72	Êµ???	15													
3221	??ñýÝ¨	74	68	80	1			1						1	400	1			435000	43500		1	1	81	1	4	1	3	100	65	129	135																																																										13													
3222	ïñöÈñýÝ¨	76	70	82	1			1						1	300	2	16750848		522000	52200		1	2	97	2	6	2	4	100	65	133	139																																																										14													
3223	öñêÆñýÝ¨	78	72	84	1			1						1	100	3	10503406		609000	60900		1	3	113	4	8	3	5	100	65	137	143																																																										15													
4	ÙÊÍâ	1	1	7	1			2						1	400	1			30	15		1	1	37	1	4	1	3	100	60	9	21																																																						1	??Íëø·	13	Êµ??ø·	8													
317	?éÄä¨í®?	1	1	7	1			2						1	300	2	16750848		800	80		1	2	45	2	6	2	4	100	60	13	25																																																						3	??Íëø·	33	Êµ??ø·	9													
20	??÷Ù	5	1	11	1			2						1	400	1			2000	200		1	1	37	1	4	1	3	100	60	16	28																																																						1	??Íëø·	13	Êµ??ø·	8													
514	??Ðô?÷Ù	8	2	14	1			2						1	300	2	16750848		2400	240		1	2	45	2	6	2	4	100	60	20	32																																																						3	??Íëø·	33	Êµ??ø·	9													
1910	?ûå?÷Ù	11	5	17	1			2						1	100	3	10503406		2800	280		1	3	52	4	8	3	5	100	60	24	36																																																						5	???Íëø·	53	Êµ??ø·	10													
4017	?ûå?÷Ù	11	5	17	1			2						20	100	4	11968874		2800	280		1	3	67	6	8	4	5	100	60	44	62																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	10													
1911	??	14	8	20	1			2						1	400	1			6000	600		1	1	37	1	4	1	3	100	60	26	38																																																						1	??Íëø·	13	Êµ??ø·	9													
517	ÛÝÜý?ñý?	17	11	23	1			2						1	300	2	16750848		7200	720		1	2	45	2	6	2	4	100	60	30	42																																																						3	??Íëø·	33	Êµ??ø·	10													
2222	?õïñý?	20	14	26	1			2						1	100	3	10503406		8400	840		1	3	52	4	8	3	5	100	60	34	46																																																						5	???Íëø·	53	Êµ??ø·	11													
4018	?õïñý?	20	14	26	1			2						20	100	4	11968874		8400	840		1	3	67	6	8	4	5	100	60	59	76																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	11													
41	×µàø?	23	17	29	1			2						1	400	1			21000	2100		1	1	37	1	4	1	3	100	60	39	51																																																						1	??Íëø·	13	Êµ??ø·	10													
515	÷¼?ãêñý×µàø?	26	20	32	1			2						1	300	2	16750848		25200	2520		1	2	45	2	6	2	4	100	60	43	55																																																						3	??Íëø·	33	Êµ??ø·	11													
1912	?ÜýÓÞ÷Ù	29	23	35	1			2						1	100	3	10503406		29400	2940		1	3	52	4	8	3	5	100	60	47	59																																																						5	???Íëø·	53	Êµ??ø·	12													
4019	?ÜýÓÞ÷Ù	29	23	35	1			2						20	100	4	11968874		29400	2940		1	3	67	6	8	4	5	100	60	78	96																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	12													
512	ÓÞ÷Ù	32	26	38	1			2						1	400	1			63000	6300		1	1	37	1	4	1	3	100	60	53	65																																																						1	??Íëø·	13	Êµ??ø·	10													
518	áú?íºÓÞ÷Ù	35	29	41	1			2						1	300	2	16750848		75600	7560		1	2	45	2	6	2	4	100	60	57	69																																																						3	??Íëø·	33	Êµ??ø·	11													
2225	?Íé÷ò?íº	38	32	44	1			2						1	100	3	10503406		88200	8820		1	3	52	4	8	3	5	100	60	61	73																																																						5	???Íëø·	53	Êµ??ø·	12													
4020	?Íé÷ò?íº	38	32	44	1			2						20	100	4	11968874		88200	8820		1	3	67	6	8	4	5	100	60	99	117																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	12													
513	ÕôÕá??÷Ù	41	35	47	1			2						1	400	1			160000	16000		1	1	74	1	4	1	3	100	60	70	82																																																						1	??Íëø·	13	Êµ??ø·	11													
516	?ÎÃ?÷Ù	44	38	50	1			2						1	300	2	16750848		192000	19200		1	2	89	2	6	2	4	100	60	74	86																																																						3	??Íëø·	33	Êµ??ø·	12													
1913	ãê??÷Ù	47	41	53	1			2						1	100	3	10503406		224000	22400		1	3	104	4	8	3	5	100	60	78	90																																																						5	???Íëø·	53	Êµ??ø·	13													
4021	ãê??÷Ù	47	41	53	1			2						20	100	4	11968874		224000	22400		1	3	133	6	8	4	5	100	60	104	119																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	13													
3224	ûýÎÃ×µàø?	50	44	56	1			2						1	400	1			215000	21500		1	1	74	1	4	1	3	100	60	86	98																																																						1	??Íëø·	13	Êµ??ø·	11													
3225	?ÑÑ×µàø	53	47	59	1			2						1	300	2	16750848		258000	25800		1	2	89	2	6	2	4	100	60	90	102																																																						3	??Íëø·	33	Êµ??ø·	12													
3226	øìÕô×µàø?	55	49	61	1			2						1	100	3	10503406		301000	30100		1	3	104	4	8	3	5	100	60	94	106																																																						5	???Íëø·	53	Êµ??ø·	13													
4022	øìÕô×µàø?	55	49	61	1			2						20	100	4	11968874		301000	30100		1	3	133	6	8	4	5	100	60	128	147																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	13													
3227	ê³ùÏñý÷Ù	58	52	64	1			2						1	400	1			259000	25900		1	1	74	1	4	1	3	100	60	103	115																																																						1	??Íëø·	13	Êµ??ø·	12													
3228	?÷÷ñý÷Ù	61	55	67	1			2						1	300	2	16750848		310800	31080		1	2	89	2	6	2	4	100	60	107	119																																																						3	??Íëø·	33	Êµ??ø·	13													
3229	?Õªñý÷Ù	63	57	69	1			2						1	100	3	10503406		362600	36260		1	3	104	4	8	3	5	100	60	111	123																																																						5	???Íëø·	53	Êµ??ø·	14													
4023	?Õªñý÷Ù	63	57	69	1			2						20	100	4	11968874		362600	36260		1	3	133	6	8	4	5	100	60	154	174																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	14													
3230	??ñý÷Ù	66	60	72	1			2						1	400	1			319000	31900		1	1	74	1	4	1	3	100	60	120	132																																																						1	??Íëø·	13	Êµ??ø·	13													
3231	ÍéâÐ?ÚåÏõ	69	63	75	1			2						1	300	2	16750848		382800	38280		1	2	89	2	6	2	4	100	60	124	136																																																						3	??Íëø·	33	Êµ??ø·	14													
3232	??õ½??Üê	71	65	77	1			2						1	100	3	10503406		446600	44660		1	3	104	4	8	3	5	100	60	128	140																																																						5	???Íëø·	53	Êµ??ø·	15													
4024	??õ½??Üê	71	65	77	1			2						20	100	4	11968874		446600	44660		1	3	133	6	8	4	5	100	60	180	196																																																						7	ÏÛÝ¤?Íëø·	73	Êµ??ø·	15													
3233	üéßäÓÞ÷Ù	74	68	80	1			2						1	400	1			435000	43500		1	1	74	1	4	1	3	100	60	138	150																																																										13													
3234	âÏ?ÓÞ÷Ù	76	70	82	1			2						1	300	2	16750848		522000	52200		1	2	89	2	6	2	4	100	60	142	154																																																										14													
3235	öñêÆÓÞ÷Ù	78	72	84	1			2						1	100	3	10503406		609000	60900		1	3	104	4	8	3	5	100	60	146	158																																																										15													
494	?â¢?	1	1	7	1			4						1	400	1			30	15		2	1	35	1	4	1	3	150	56	7	25																																																						1	??Íëø·	15	??ø¢	8													
1914	???	1	1	7	1			4						1	300	2	16750848		800	80		2	2	42	2	6	2	4	150	56	11	29																																																						3	??Íëø·	35	??ø¢	9													
520	ïñöÈ?â¢?	5	1	11	1			4						1	400	1			2000	200		2	1	35	1	4	1	3	150	56	15	32																					       																																	1	??Íëø·	15	??ø¢	8													
1915	é¸íº?ìÓ?	8	2	14	1			4						1	300	2	16750848		2400	240		2	2	42	2	6	2	4	150	56	19	36																																																						3	??Íëø·	35	??ø¢	9													
1916	Ðº×ùßµËÝ?	11	5	17	1			4						1	100	3	10503406		2800	280		2	3	49	4	8	3	5	150	56	23	40																																																						5	???Íëø·	55	??ø¢	10													
4025	Ðº×ùßµËÝ?	11	5	17	1			4						20	100	4	11968874		2800	280		2	3	62	6	8	4	5	150	56	42	66																																																						7	ÏÛÝ¤?Íëø·	75	??ø¢	10													
521	?Ö®ËÝ?	14	8	20	1			4						1	400	1			6000	600		2	1	35	1	4	1	3	150	56	26	44																																																						1	??Íëø·	15	??ø¢	9													
1917	ï·Ö®ËÝ?	17	11	23	1			4						1	300	2	16750848		7200	720		2	2	42	2	6	2	4	150	56	30	48																																																						3	??Íëø·	35	??ø¢	10													
1918	?ÑÑËÝ?	20	14	26	1			4						1	100	3	10503406		8400	840		2	3	49	4	8	3	5	150	56	34	52																																																						5	???Íëø·	55	??ø¢	11													
4026	?ÑÑËÝ?	20	14	26	1			4						20	100	4	11968874		8400	840		2	3	62	6	8	4	5	150	56	59	86																																																						7	ÏÛÝ¤?Íëø·	75	??ø¢	11													
2	?ìÓ?	23	17	29	1			4						1	400	1			21000	2100		2	1	35	1	4	1	3	150	56	40	57																																																						1	??Íëø·	15	??ø¢	10													
492	ïñöÈ?ìÓ?	26	20	32	1			4						1	300	2	16750848		25200	2520		2	2	42	2	6	2	4	150	56	44	61																																																						3	??Íëø·	35	??ø¢	11													
1919	?â¢ñì?	29	23	35	1			4						1	100	3	10503406		29400	2940		2	3	49	4	8	3	5	150	56	48	65																																																						5	???Íëø·	55	??ø¢	12													
4027	?â¢ñì?	29	23	35	1			4						20	100	4	11968874		29400	2940		2	3	62	6	8	4	5	150	56	78	105																																																						7	ÏÛÝ¤?Íëø·	75	??ø¢	12													
519	Ú·ÞÙ÷åñì?	32	26	38	1			4						1	400	1			63000	6300		2	1	35	1	4	1	3	150	56	55	73																																																						1	??Íëø·	15	??ø¢	10													
1920	?ÞÍ??	35	29	41	1			4						1	300	2	16750848		75600	7560		2	2	42	2	6	2	4	150	56	59	77																																																						3	??Íëø·	35	??ø¢	11													
1921	××?ßãñì?	38	32	44	1			4						1	100	3	10503406		88200	8820		2	3	49	4	8	3	5	150	56	63	81																																																						5	???Íëø·	55	??ø¢	12													
4028	××?ßãñì?	38	32	44	1			4						20	100	4	11968874		88200	8820		2	3	62	6	8	4	5	150	56	82	108																																																						7	ÏÛÝ¤?Íëø·	75	??ø¢	12													
37	?â¢??	41	35	47	1			4						1	400	1			160000	16000		2	1	69	1	4	1	3	150	56	73	90																																																						1	??Íëø·	15	??ø¢	11													
1922	äï××ýñäÌ??	44	38	50	1			4						1	300	2	16750848		192000	19200		2	2	83	2	6	2	4	150	56	77	94																																																						3	??Íëø·	35	??ø¢	12													
1923	?ÓìÜÅ???	47	41	53	1			4						1	100	3	10503406		224000	22400		2	3	97	4	8	3	5	150	56	81	98																																																						5	???Íëø·	55	??ø¢	13													
4029	?ÓìÜÅ???	47	41	53	1			4						20	100	4	11968874		224000	22400		2	3	124	6	8	4	5	150	56	100	132																																																						7	ÏÛÝ¤?Íëø·	75	??ø¢	13													
3236	?ÑÑñýàø	50	44	56	1			4						1	400	1			215000	21500		2	1	69	1	4	1	3	150	56	90	108																																																						1	??Íëø·	15	??ø¢	11													
3237	Ðñ×ìäÌ??	53	47	59	1			4						1	300	2	16750848		258000	25800		2	2	83	2	6	2	4	150	56	94	112																																																						3	??Íëø·	35	??ø¢	12													
3238	?íºñýìÓ	55	49	61	1			4						1	100	3	10503406		301000	30100		2	3	97	4	8	3	5	150	56	98	116																																																						5	???Íëø·	55	??ø¢	13													
4030	?íºñýìÓ	55	49	61	1			4						20	100	4	11968874		301000	30100		2	3	124	6	8	4	5	150	56	134	162																																																						7	ÏÛÝ¤?Íëø·	75	??ø¢	13													
3239	Í¯ßÚä³??	58	52	64	1			4						1	400	1			259000	25900		2	1	69	1	4	1	3	150	56	108	125																																																						1	??Íëø·	15	??ø¢	12													
3240	èªà¤??	61	55	67	1			4						1	300	2	16750848		310800	31080		2	2	83	2	6	2	4	150	56	112	129																																																						3	??Íëø·	35	??ø¢	13													
3241	äÞå¨?ÞÍ?	63	57	69	1			4						1	100	3	10503406		362600	36260		2	3	97	4	8	3	5	150	56	116	133																																																						5	???Íëø·	55	??ø¢	14													
4031	äÞå¨?ÞÍ?	63	57	69	1			4						20	100	4	11968874		362600	36260		2	3	124	6	8	4	5	150	56	164	185																																																						7	ÏÛÝ¤?Íëø·	75	??ø¢	14													
