스킬명	attribute	upgradable	check_range	target	range	requirement	condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	move_target	update_factor	reflect_melee_attack	reflect_magic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash
네이쳐샷	11	1	1	1	202	1							101					116											1									1													
스네어샷	11	1	1	1	1304	1							101					116											1									1													
미스 리더	10	1	2	100	1	1		2										10																				2													
큐어	10	1	2	100	1	1																		2														2													
헬프리스	11	1	1	1	202	1							101					10																				1													
헤비 핸드	11	1	1	1	202	1							101					10																				1													
윈드 애로우	5	1	1	1	202	1		5					103																									1													
굿 보우	10	1	2	100	1	11		6										107																				2													
굿 크로스보우	10	1	2	100	1	12		7										107																				2													
포이즌 애로우	11	1	1	1	202	1							103														10002											1													
리얼 레인지	10	1	2	100	1	1		8										107																				2													
브레스 소울	10	1	2	100	1	1												10																				2													
어그로 돌		1																																				2													
우드스킨	10	1	2	100	1	1												10																				2													
페인 애로우	11	1	1	1	202	1							101														10001		1									1													
치터	10	1	2	100	1	1										7																						2									1				
그레이트 바스터	1	1	1	1	202	1		50	400				101																									1													
어스 빌	1	1	1	1	202	1							103																									1													
어게인스트	10	1	2	100	1	1										5		10																				2													
퍼펙트 골드	9	1	2	111	1													10																																	
크리티컬 히트	9	1	2	111	1		1000	3	150				106																																						
어메이징 히트	9	1	2	111	1			5	150				106																																						
데스 히트	9	1	2	111	1			7	200				106																																						
이베이드	9	1	2	111	1													10																																	
프리다징	9	1	2	111	1													10																																	
프레딕트	9	1	2	111	1													10																																	
스프라이트 콜링	9	1	2	111	1													10																																	
스프라이트 샤이닝	9	1	2	111	1													10																																	
퍼슈어링	9	1	2	111	1													10																																	
다지	9	1	2	111	1			1										10																																	
스커드	9	1	2	111	1													116																																	
플레임 코어	3	1	1	1	202	1		3					103																									1													
네이팜 플레임	21	1	1	1	202	1		3					103														10002		1									1													
블레이즈 월	3	1	1	1	404	1		3					103																									1													
어스퀘이크	4	1	1	101	304	1		4					103																									1													
멀티플 스프린터	11	1	1	101	304	1		4					103					116											1									1													
윈드 스매쉬	5	1	1	1	202	1		5					103				1																					1													
헬 타이푼	5	1	1	1	1304	1		5					103																									1													
워터 스파우트	21	1	1	1	202	1		2					103					10									10002		1									1													
애시드 레인	21	1	1	101	304	1		2					103														10002		1									1													
휠 기어	6	1	1	1	1304	1		2					103																									1													
매직 볼트	2	1	1	1	202	1		1					103																									1													
소울 케오스	2	1	1	101	304	1		1					103																									1													
윈드 쉐이크	21	1	1	101	304	1		5					103					10											1									1													
지오 샤드	11	1	1	1	202	1		4					103					116											1									1													
리플렉션	10	1	2	100	1	1	1000											10	1																			2													
콘퓨젼	10	1	1	1	202	1												10																				1													
할트	20	1	1	1	202	1										9																						1													
스터너	10	1	2	100	1	1	1000											10	2																			2													
풀링 마나	10	1	2	100	1	1	1000											10																2				2													
바이탈 컨버젼	10	1	2	100	1	1																												3				2													
세이브 미니츠	10	1	2	100	1	1																											1					2													
굿 스태프	10	1	2	100	1	9		10										107																				2													
굿 완드	10	1	2	100	1	10		11										107																				2													
데스 마크	20	1	1	1	202	1												10																				2													
데몰리션 송	1	1	1	1	202	1							103																									2													
루즈 디펜스	10	1	1	1	202	1												10																				1													
엑스퍼트	10	1	2	100	1	1												10																		1		2													
그라인드 풀링	11	1	1	1	202	1							103					10									10001											1													
테스타먼트	10	1	2	100	1	1												10																				2													
콜 스웜프	11	1	1	1	202	1							103			3		10									10001											1													
마나 시퀀스	1	1	1	1	202	1							103																									1													
멘탈 서킷	10	1	2	100	1	1	1000																											1				2													
옵티멈	10	1	2	100	1	1												10													2							2													
스펠 크리티컬	9	1	2	111	1		1000	1	150					109				10																																	
브릴리언트 참	9	1	2	111	1			2	150					109																																					
찬트 이렉션	9	1	2	111	1			4	180					109																																					
인텐스 매직	9	1	2	111	1		1000	1																							2																				
마인드 콘트롤	9	1	2	111	1													10																																	
파 홀드	9	1	2	111	1																										4																				
인사이드 펌	9	1	2	111	1													10																																	
케스팅 마스터리	9	1	2	111	1			100	85																						5																				
베네딕션	9	1	2	111	1			100	105									10																																	
마나 이펙트	9	1	2	111	1													10													2																				
파워서지	9	1	2	111	1													10																																	
리스마트	9	1	2	111	1													10																																	
빌드업	9	1	2	111	1													10																																	
마인드붐	9	1	2	111	1													10																																	
샤프센스	9	1	2	111	1													10																																	
헬 바운드	1	1	1	1	202	1							101																									1													
트루 임펙트	21	1	1	1	202	1							101					10																				1													
스피어 애로우	1	1	1	1	1404	1							101																									1													
점핑 샷	1	1	1	1	202	1							101																									1													
멀티 스트라이크	1	1	1	1	1404	13							101																									1		1											
파워 카타리아	1	1	1	1	202	13							101																									2													
스나이프	1	1	1	1	202	11							101																									1													
체인 리액션	11	1	1	1	202	11							101			3		10																				2													
타임 어택	20	1	1	1	202	1																																1			1										
쉐도우 체이서	1	1	1	1	202	1							101																									1			2										
엘리멘탈 코어	1	1	1	1	1304	1							103																									1													
에어 워크	10	1	2	100	1	1												10																				2													
엘리멘탈 디펜스	10	1	2	100	1	1												10																				2													
파인 보우	10	1	2	100	1	11		6										107																				2													
파인 카타리아	10	1	2	100	1	13		12										107																				2													
플레임 포스	10	1	2	100	1	1																																2				10001									
마나 익스팅션	10	1	2	100	1	1	1000																											5				2													
라이프 익스팅션	10	1	2	100	1	1	1000																											4				2													
이터널 소울	10	1	2	100	1	1												10																				2													
문라잇 피버	10	1	2	100	1	1		1										108																				2													
배드 프렌즈	20	1	1	1	202	1																																2					3								
모탈 대거	1	1	1	1	304	1							101																																						
인비저블	10	1	2	100	1											10																						2													
라이트닝 트랩	200	1	2	100	1	1																																2					2								
인텐션	9	1	2	111	1													10																																	
샤프 포인트	9	1	2	111	1													10																																	
문라잇 브레스	9	1	2	111	1		1000	5	150				106					10																																	
그로스 오브 라이프	9	1	2	111	1													10																																	
콜 오브 워터	210	1	2	100	1	1																																2					1								
콜 오브 파이어	210	1	2	100	1	1																																2					1								
콜 오브 윈드	210	1	2	100	1	1																																2					1								
스노우 헤저드	11	1	1	1	202	1	1000						103			1																						1													
콜 오브 어스	210	1	2	100	1	1																																2					1								
콜 오브 매직	210	1	2	100	1	1																																2					1								
디센트 오브 썬더	1	1	1	1	202	1							103																									2													
포이즌 에어	21	1	1	101	304	1							103														10002											1													
엘리멘탈 스톰	1	1	1	1	1304	1							103																									2													
콜 오브 베놈	210	1	2	100	1	1																																2					1								
콜 오브 아이스	210	1	2	100	1	1																																2					1								
콜 오브 라이트닝	210	1	2	100	1	1																																2					1								
홀리 그라운드	200	1	2	100	1	1																																2					2								
블레싱 오브 문라잇	10	1	2	100	5	1												10																				2													
파인 스태프	10	1	2	100	1	9		10										107																				2													
파인 차크람	10	1	2	100	1	14		13										107																				2													
블레스 오브 페어리	10	1	2	100	1	1												10																				2													
프로스트 아머	10	1	2	100	1	1												10																				2			3										
프로스트 아머<추가효과>	10	1	1	1	202	1	2000									3		116																																1	
소울 바리어	10	1	2	100	1	1	1000											10	2																			2													
라이트닝 피어	21	1	1	1	1304	1							103			3		10									10002											1													
하이퍼 소울 디펜스	10	1	2	100	501	1												10																				2													
인크리즈 게이트	10	3	2	100	1	1																																2					4			1					
디센트 오브 루나	10	1	2	100	307	1												10																				2													
뮤테이션	20	1	1	1	202	1																			4													2													
엘리먼트 힐	9	1	2	111	1																																						5								
엘리먼트 힐<추가효과>	10	1	2	111	5													10																											2					1	
타임 리커버리	9	1	2	111	1													10													6																				
디펜스 마스터	9	1	2	111	1													10																																	
컴뱃 마스터	9	1	2	111	1													10																																	
<소환>라이트닝 트랩	10	1	2	100	1																																					10002			2						
<소환>콜 오브 워터	9	1	1	111	1													10																										1							
<소환>콜 오브 파이어	10	1	2	100	1		1000				1							10																								10001			2						
<소환>콜 오브 윈드	9	1	1	111	1													10																										1							
<소환>콜 오브 어스	9	1	1	111	1													10																										1							
<소환>콜 오브 매직	9	1	1	111	1													10																										1							
<소환>콜 오브 베놈	9	1	1	111	1													10																										1							
<소환>콜 오브 아이스	9	1	1	111	1													10																										1							
<소환>콜 오브 라이트닝	9	1	1	111	1													10																										1							
<소환>홀리 그라운드	10	1	2	100	1																																					10003			2						
<소환>라이트닝 트랩<추가효과>																																																		1	
<소환>콜 오브 워터<추가효과>	10	1	1	1	202													116																																1	
<소환>콜 오브 파이어<추가효과>																																																		1	
<소환>콜 오브 윈드<추가효과>	10	1	1	1	202													10																																1	
<소환>콜 오브 어스<추가효과>	10	1	1	1	202													10																																1	
<소환>콜 오브 매직<추가효과>	10	1	1	1	202											9		10																																1	
<소환>콜 오브 베놈<추가효과>	10	1	1	1	202																						10002																							1	
<소환>콜 오브 아이스<추가효과>	10	1	1	1	202													116																																1	
<소환>콜 오브 라이트닝<추가효과>	10	1	1	1	202											1																																		1	
<소환>홀리 그라운드<추가효과>	10	1	2	110	308																												3												1					1	
냉기의 기원석<소>	10010	1	2	1	2											3		10																																1	
냉기의 기원석<중>	10010	1	2	1	2											3		10																																1	
냉기의 기원석<대>	10010	1	2	1	2											3		10																																1	
전격의 기원석<소>	10010	1	2	1	2											1																																		1	
전격의 기원석<중>	10010	1	2	1	2											1																																		1	
전격의 기원석<대>	10010	1	2	1	2											1																																		1	
맹독의 기원석<소>	10020	1	2	1	2																						10002																							1	
맹독의 기원석<중>	10020	1	2	1	2																						10002																							1	
맹독의 기원석<대>	10020	1	2	1	2																						10002																							1	
시체 뒤지기	8	1	1	1	202	4		654		4	8000																										1														
가죽 벗기기	8	1	1	1	202	4		654		4	8000																										1														
고기 잘라내기	8	1	1	1	202	4		654		4	8000																										1														
요리하기	8	1	2	100		4		655			8000																										1														
연금술	8	1	2	100		4		1016			8000																										1														
익스플로전 스크롤	1	2	1	1	1304		1000						101					10																																	
포이즌 스크롤	21	2	1	1	202		1000																				10002																								
라이트닝 스크롤	1	2	1	1	202		1000						101			1		10																																	
최대체력증가 스킬 1레벨	10	2	2	100	1													10																																	
최대체력증가 스킬 2레벨	10	2	2	100	1													10																																	
최대마나증가 스킬 1레벨	10	2	2	100	1													10																																	
최대마나증가 스킬 2레벨	10	2	2	100	1													10																																	
공격력증가 스킬 1레벨	10	2	2	100	1													10																																	
공격력증가 스킬 2레벨	10	2	2	100	1													10																																	
방어력증가 스킬 1레벨	10	2	2	100	1													10																																	
방어력증가 스킬 2레벨	10	2	2	100	1													10																																	
<BOSS><고블린 추장>컨퓨전	1	2	1	1	1404								101																																						
<BOSS><홉 고블린 족장>스콘	1	2	1	1	304								101																																						
<BOSS><바이퍼 왕>인세너티	1	2	1	1	404								101																																						
<BOSS><스켈레톤 커맨더>서먼 스켈레톤	1	2	1	1	1404								101																																						
<BOSS><리자드맨 로드>디스트럭션	1	2	1	1	1304								101																																						
<BOSS><켄타우르스 대장>스피어 블라스트	1	2	1	1	1404								101																																						
<BOSS><좀비 로드>어프리션	1	2	1	1	1304								101																																						
<BOSS><하피 퀸>스톰	1	2	1	1	304								101																																						
<BOSS><마법박쥐 리더>소닉 웨이브	1	2	1	1	1404								101																																						
<BOSS><거대 거미 퀸>포이즌 웹	1	2	1	1	304								101																																						
<BOSS><그리폰>라이트드롭	1	2	1	1	1404								101																																						
<BOSS><와이번>로드 인페르노	1	2	1	1	404								101																																						
<BOSS><트롤>어스 리프트	1	2	1	1	1404								101																																						
<BOSS><히드라>커스 서클	1	2	1	1	1304								101																																						
<BOSS><만티코어>매지컬 사인	1	2	1	1	1404								101																																						
<BOSS><스프리건 로드>스프리건	1	2	1	1	1304								101																																						
<BOSS><마릴리스 프린세스>퀸 오브 워터	1	2	1	1	1304								101																																						
<BOSS><엔트 로드>어드 마인드	1	2	1	1	1304								101																																						
<BOSS><뱀파이어 프린스>블러드 사인	1	2	1	1	1304								101																																						
<BOSS><라미아 퀸>라미아 파워	1	2	1	1	1304								101																																						
<BOSS><구울 킹>포그 오브 베놈	1	2	1	1	1304								101																																						
<BOSS><기간테스>익스플로전 플레임	1	2	1	1	404								101																																						
<BOSS><브론즈드래곤 시드>스킬	1	2	1	1	1304								101																																						
<BOSS><뱀파이어퀸>근접스킬	1	2	1	1	304								101																																						
<BOSS><뱀파이어퀸>범위스킬	1	2	1	1	304								101																																						
<BOSS><케인독 대장>스킬	1	2	1	1	1304								101																																						
<BOSS><놀보스>스킬	1	2	1	1	1404								101																																						
<BOSS><벤덜리언 보스>스킬	1	2	1	1	1404								101																																						
<BOSS><그리플러킹>스킬	1	2	1	1	304								101																																						
<BOSS><토탈 브로큰>스킬	1	2	1	1	1304								101																																						
<MOB>리쉬근거리스킬	1	2	1	1	202								101																																						
<BOSS><호크 애로우킹>스킬	1	2	1	1	1304								101																																						
<BOSS><에우리알레군주>스킬	1	2	1	1	1304								101																																						
<BOSS><파라오킹>스킬	1	2	1	1	1404								101																																						
<BOSS><발러>스킬	1	2	1	1	1404								101																																						
<BOSS><발러>스킬2	1	2	1	1	1404								101																																						
<BOSS><발러>스킬3	1	2	1	1	304								101																																						
<BOSS><암브로드>스킬	1	2	1	1	1304								101																																						
<BOSS><레퀴메스왕>스킬	1	2	1	1	304								101																																						
<BOSS><미스터리오>플레그 오브 소브	1	2	1	1	304								101																																						
<BOSS><타라>플레그 오브 맥스	1	2	1	1	304								101																																						
<BOSS><스파르타>스파르탄 트레이닝	1	2	1	1	1304								101																																						
<BOSS><모르타르>콥스 밀러	1	2	1	1	304								101																																						
<BOSS><아만토르그>풀 스로틀	1	2	1	1	304								101																																						
<BOSS><코볼트 흑마법사>브레인 블리자드	1	2	1	1	1404								101																																						
<BOSS><페이트 인섹트>스킬1	1	2	1	1	1404								101																																						
<BOSS><페이트 인섹트>스킬2	1	2	1	1	1304								101																																						
<BOSS><페이트 인섹트>스킬3	1	2	1	1	304								101																																						
일반공격	1	2	2	1	202																																		1												
포스	1	2	1	1	202	1							101																									1													
마이트	1	2	1	1	202	1							101																									1													
무적상태	10	2	2	100	1																																														
이동속도물약 소	10	2	2	100	1													116																																	
이동속도물약 중	10	2	2	100	1													116																																	
이동속도물약 대	10	2	2	100	1													116																																	
공격속도물약 소	10	2	2	100	1													116																																	
공격속도물약 중	10	2	2	100	1													116																																	
공격속도물약 대	10	2	2	100	1													116																																	
최대체력증가 스킬 3레벨	10	2	2	100	1													116																																	
최대마나증가 스킬 3레벨	10	2	2	100	1													116																																	
공격력증가 스킬 3레벨	10	2	2	100	1													116																																	
방어력증가 스킬 3레벨	10	2	2	100	1													116																																	
마나회복 스킬 1레벨	10	2	2	100	1													116																																	
마나회복 스킬 2레벨	10	2	2	100	1													116																																	
마나회복 스킬 3레벨	10	2	2	100	1													116																																	
체력회복 스킬 1레벨	10	2	2	100	1													116																																	
체력회복 스킬 2레벨	10	2	2	100	1													116																																	
체력회복 스킬 3레벨	10	2	2	100	1													116																																	
불속성공격 스킬 1레벨	10	2	2	100	1													116																																	
불속성공격 스킬 2레벨	10	2	2	100	1													116																																	
물속성공격 스킬 1레벨	10	2	2	100	1													116																																	
물속성공격 스킬 2레벨	10	2	2	100	1													116																																	
공기속성공격 스킬 1레벨	10	2	2	100	1													116																																	
공기속성공격 스킬 2레벨	10	2	2	100	1													116																																	
땅속성공격 스킬 1레벨	10	2	2	100	1													116																																	
땅속성공격 스킬 2레벨	10	2	2	100	1													116																																	
마법속성공격 스킬 1레벨	10	2	2	100	1													116																																	
마법속성공격 스킬 2레벨	10	2	2	100	1													116																																	
불속성방어 스킬 1레벨	10	2	2	100	1													116																																	
불속성방어 스킬 2레벨	10	2	2	100	1													116																																	
불속성방어 스킬 3레벨	10	2	2	100	1													116																																	
불속성방어 스킬 4레벨	10	2	2	100	1													116																																	
물속성방어 스킬 1레벨	10	2	2	100	1													116																																	
물속성방어 스킬 2레벨	10	2	2	100	1													116																																	
물속성방어 스킬 3레벨	10	2	2	100	1													116																																	
물속성방어 스킬 4레벨	10	2	2	100	1													116																																	
공기속성방어 스킬 1레벨	10	2	2	100	1													116																																	
공기속성방어 스킬 2레벨	10	2	2	100	1													116																																	
공기속성방어 스킬 3레벨	10	2	2	100	1													116																																	
공기속성방어 스킬 4레벨	10	2	2	100	1													116																																	
땅속성방어 스킬 1레벨	10	2	2	100	1													116																																	
땅속성방어 스킬 2레벨	10	2	2	100	1													116																																	
땅속성방어 스킬 3레벨	10	2	2	100	1													116																																	
땅속성방어 스킬 4레벨	10	2	2	100	1													116																																	
마법속성방어 스킬 1레벨	10	2	2	100	1													116																																	
마법속성방어 스킬 2레벨	10	2	2	100	1													116																																	
마법속성방어 스킬 3레벨	10	2	2	100	1													116																																	
마법속성방어 스킬 4레벨	10	2	2	100	1													116																																	
이벤트아이템용01	10	2	2	100	1													116																																	
이벤트아이템용02	10	2	2	100	1													116																																	
이벤트아이템용03	10	2	2	100	1													116																																	
이벤트아이템용04	10	2	2	100	1																																														
이벤트아이템용05	10	2	2	100	1																																														
행운 부적-정량제<30분>	10	2	2	100	1																																								2			1	3		1
행운 부적-정량제<60분>	10	2	2	100	1																																								2			1	3		1
행운 부적-정액제<1일>	10	2	2	100	1																																								2			1	3		1
행운 부적-정액제<3일>	10	2	2	100	1																																								2			1	3		1
행운 부적-정액제<14일>	10	2	2	100	1																																								2			1	3		1
행운 부적-정액제<7일>	10	2	2	100	1																																								2			1	3		1
드롭율 향상	10	2	2	100	1																																								2			1	6		1
거인의 물약	10	2	2	100	1													116																											2			1			1
회피의 물약	10	2	2	100	1													10																											2			1			1
초대형 광속의 물약	10	2	2	100	1													116																											2			1			1
초대형 방어의 물약	10	2	2	100	1													116																											2			1			1
초대형 신속의 물약	10	2	2	100	1													116																											2			1			1
렌즈스톤	10	2	2	100	1													116																							4				2			1			1
