스킬종류	레벨	지급경험치 최소값	지급경험치 최대값	성공요구값	성공확률 최소값	성공확률 최대값	레벨업경험치	레벨업누적경험치
Skinning	95	40	42	90	80	85	3690	120495
Skinning	96	40	42	90	80	85	3690	124185
Skinning	97	40	42	90	80	85	3690	127875
Skinning	98	40	42	90	80	85	3690	131565
Skinning	99	40	42	90	80	85	3690	135255
Skinning	100	40	42	100	80	85	4100	139355
Carving	1	4	6	3	40	45	15	15
Carving	2	4	6	5	40	45	25	40
Carving	3	4	6	10	40	45	50	90
Carving	4	4	6	10	40	45	50	140
Carving	5	4	6	10	40	45	50	190
Carving	6	4	6	15	40	45	75	265
Carving	7	4	6	15	40	45	75	340
Carving	8	4	6	15	40	45	75	415
Carving	9	4	6	15	40	45	75	490
Carving	10	4	6	15	40	45	75	565
Carving	11	8	10	20	40	45	180	745
Carving	12	8	10	20	40	45	180	925
Carving	13	8	10	20	40	45	180	1105
Carving	14	8	10	20	40	45	180	1285
Carving	15	8	10	20	40	45	180	1465
Carving	16	8	10	20	40	45	180	1645
Carving	17	8	10	20	40	45	180	1825
Carving	18	8	10	20	40	45	180	2005
Carving	19	8	10	20	40	45	180	2185
Carving	20	8	10	20	40	45	180	2365
Carving	21	12	14	25	45	50	325	2690
Carving	22	12	14	25	45	50	325	3015
Carving	23	12	14	25	45	50	325	3340
Carving	24	12	14	25	45	50	325	3665
Carving	25	12	14	25	45	50	325	3990
Carving	26	12	14	25	45	50	325	4315
Carving	27	12	14	25	45	50	325	4640
Carving	28	12	14	25	45	50	325	4965
Carving	29	12	14	25	45	50	325	5290
Carving	30	12	14	25	45	50	325	5615
Carving	31	16	18	30	50	55	510	6125
Carving	32	16	18	30	50	55	510	6635
Carving	33	16	18	30	50	55	510	7145
Carving	34	16	18	30	50	55	510	7655
Carving	35	16	18	30	50	55	510	8165
Carving	36	16	18	30	50	55	510	8675
Carving	37	16	18	30	50	55	510	9185
Carving	38	16	18	30	50	55	510	9695
Carving	39	16	18	30	50	55	510	10205
Carving	40	16	18	30	50	55	510	10715
Carving	41	20	22	40	55	60	840	11555
Carving	42	20	22	40	55	60	840	12395
Carving	43	20	22	40	55	60	840	13235
Carving	44	20	22	40	55	60	840	14075
Carving	45	20	22	40	55	60	840	14915
Carving	46	20	22	40	55	60	840	15755
Carving	47	20	22	40	55	60	840	16595
Carving	48	20	22	40	55	60	840	17435
Carving	49	20	22	40	55	60	840	18275
Carving	50	20	22	40	55	60	840	19115
Carving	51	24	26	50	60	65	1250	20365
Carving	52	24	26	50	60	65	1250	21615
Carving	53	24	26	50	60	65	1250	22865
Carving	54	24	26	50	60	65	1250	24115
Carving	55	24	26	50	60	65	1250	25365
Carving	56	24	26	50	60	65	1250	26615
Carving	57	24	26	50	60	65	1250	27865
Carving	58	24	26	50	60	65	1250	29115
Carving	59	24	26	50	60	65	1250	30365
Carving	60	24	26	50	60	65	1250	31615
Carving	61	28	30	60	65	70	1740	33355
Carving	62	28	30	60	65	70	1740	35095
Carving	63	28	30	60	65	70	1740	36835
Carving	64	28	30	60	65	70	1740	38575
Carving	65	28	30	60	65	70	1740	40315
Carving	66	28	30	60	65	70	1740	42055
Carving	67	28	30	60	65	70	1740	43795
Carving	68	28	30	60	65	70	1740	45535
Carving	69	28	30	60	65	70	1740	47275
Carving	70	28	30	60	65	70	1740	49015
Carving	71	32	34	70	70	75	2310	51325
Carving	72	32	34	70	70	75	2310	53635
Carving	73	32	34	70	70	75	2310	55945
Carving	74	32	34	70	70	75	2310	58255
Carving	75	32	34	70	70	75	2310	60565
Carving	76	32	34	70	70	75	2310	62875
Carving	77	32	34	70	70	75	2310	65185
Carving	78	32	34	70	70	75	2310	67495
Carving	79	32	34	70	70	75	2310	69805
Carving	80	32	34	80	70	75	2640	72445
Carving	81	36	38	80	75	80	2960	75405
Carving	82	36	38	80	75	80	2960	78365
Carving	83	36	38	80	75	80	2960	81325
Carving	84	36	38	80	75	80	2960	84285
Carving	85	36	38	80	75	80	2960	87245
Carving	86	36	38	80	75	80	2960	90205
Carving	87	36	38	80	75	80	2960	93165
Carving	88	36	38	80	75	80	2960	96125
Carving	89	36	38	80	75	80	2960	99085
Carving	90	36	38	80	75	80	2960	102045
Carving	91	40	42	90	80	85	3690	105735
Carving	92	40	42	90	80	85	3690	109425
Carving	93	40	42	90	80	85	3690	113115
Carving	94	40	42	90	80	85	3690	116805
Carving	95	40	42	90	80	85	3690	120495
Carving	96	40	42	90	80	85	3690	124185
Carving	97	40	42	90	80	85	3690	127875
Carving	98	40	42	90	80	85	3690	131565
Carving	99	40	42	90	80	85	3690	135255
Carving	100	40	42	100	80	85	4100	139355
Cooking	1	4	6	3	40	45	15	15
Cooking	2	4	6	5	40	45	25	40
Cooking	3	4	6	10	40	45	50	90
Cooking	4	4	6	10	40	45	50	140
Cooking	5	4	6	10	40	45	50	190
Cooking	6	4	6	15	40	45	75	265
Cooking	7	4	6	15	40	45	75	340
Cooking	8	4	6	15	40	45	75	415
Cooking	9	4	6	15	40	45	75	490
Cooking	10	4	6	15	40	45	75	565
Cooking	11	8	10	20	40	45	180	745
Cooking	12	8	10	20	40	45	180	925
Cooking	13	8	10	20	40	45	180	1105
Cooking	14	8	10	20	40	45	180	1285
Cooking	15	8	10	20	40	45	180	1465
Cooking	16	8	10	20	40	45	180	1645
Cooking	17	8	10	20	40	45	180	1825
Cooking	18	8	10	20	40	45	180	2005
Cooking	19	8	10	20	40	45	180	2185
Cooking	20	8	10	20	40	45	180	2365
Cooking	21	12	14	25	45	50	325	2690
Cooking	22	12	14	25	45	50	325	3015
Cooking	23	12	14	25	45	50	325	3340
Cooking	24	12	14	25	45	50	325	3665
Cooking	25	12	14	25	45	50	325	3990
Cooking	26	12	14	25	45	50	325	4315
Cooking	27	12	14	25	45	50	325	4640
Cooking	28	12	14	25	45	50	325	4965
Cooking	29	12	14	25	45	50	325	5290
Cooking	30	12	14	25	45	50	325	5615
Cooking	31	16	18	30	50	55	510	6125
Cooking	32	16	18	30	50	55	510	6635
Cooking	33	16	18	30	50	55	510	7145
Cooking	34	16	18	30	50	55	510	7655
Cooking	35	16	18	30	50	55	510	8165
Cooking	36	16	18	30	50	55	510	8675
Cooking	37	16	18	30	50	55	510	9185
Cooking	38	16	18	30	50	55	510	9695
Cooking	39	16	18	30	50	55	510	10205
Cooking	40	16	18	30	50	55	510	10715
Cooking	41	20	22	40	55	60	840	11555
Cooking	42	20	22	40	55	60	840	12395
Cooking	43	20	22	40	55	60	840	13235
Cooking	44	20	22	40	55	60	840	14075
Cooking	45	20	22	40	55	60	840	14915
Cooking	46	20	22	40	55	60	840	15755
Cooking	47	20	22	40	55	60	840	16595
Cooking	48	20	22	40	55	60	840	17435
Cooking	49	20	22	40	55	60	840	18275
Cooking	50	20	22	40	55	60	840	19115
Cooking	51	24	26	50	60	65	1250	20365
Cooking	52	24	26	50	60	65	1250	21615
Cooking	53	24	26	50	60	65	1250	22865
Cooking	54	24	26	50	60	65	1250	24115
Cooking	55	24	26	50	60	65	1250	25365
Cooking	56	24	26	50	60	65	1250	26615
Cooking	57	24	26	50	60	65	1250	27865
Cooking	58	24	26	50	60	65	1250	29115
Cooking	59	24	26	50	60	65	1250	30365
Cooking	60	24	26	50	60	65	1250	31615
Cooking	61	28	30	60	65	70	1740	33355
Cooking	62	28	30	60	65	70	1740	35095
Cooking	63	28	30	60	65	70	1740	36835
Cooking	64	28	30	60	65	70	1740	38575
Cooking	65	28	30	60	65	70	1740	40315
Cooking	66	28	30	60	65	70	1740	42055
Cooking	67	28	30	60	65	70	1740	43795
Cooking	68	28	30	60	65	70	1740	45535
Cooking	69	28	30	60	65	70	1740	47275
Cooking	70	28	30	60	65	70	1740	49015
Cooking	71	32	34	70	70	75	2310	51325
Cooking	72	32	34	70	70	75	2310	53635
Cooking	73	32	34	70	70	75	2310	55945
Cooking	74	32	34	70	70	75	2310	58255
Cooking	75	32	34	70	70	75	2310	60565
Cooking	76	32	34	70	70	75	2310	62875
Cooking	77	32	34	70	70	75	2310	65185
Cooking	78	32	34	70	70	75	2310	67495
Cooking	79	32	34	70	70	75	2310	69805
Cooking	80	32	34	80	70	75	2640	72445
Cooking	81	36	38	80	75	80	2960	75405
Cooking	82	36	38	80	75	80	2960	78365
Cooking	83	36	38	80	75	80	2960	81325
Cooking	84	36	38	80	75	80	2960	84285
Cooking	85	36	38	80	75	80	2960	87245
Cooking	86	36	38	80	75	80	2960	90205
Cooking	87	36	38	80	75	80	2960	93165
Cooking	88	36	38	80	75	80	2960	96125
Cooking	89	36	38	80	75	80	2960	99085
Cooking	90	36	38	80	75	80	2960	102045
Cooking	91	40	42	90	80	85	3690	105735
Cooking	92	40	42	90	80	85	3690	109425
Cooking	93	40	42	90	80	85	3690	113115
Cooking	94	40	42	90	80	85	3690	116805
Cooking	95	40	42	90	80	85	3690	120495
Cooking	96	40	42	90	80	85	3690	124185
Cooking	97	40	42	90	80	85	3690	127875
Cooking	98	40	42	90	80	85	3690	131565
Cooking	99	40	42	90	80	85	3690	135255
Cooking	100	40	42	100	80	85	4100	139355
