96																			
LV	STR	Dex	CON	WIS	INT	CHA	기본 HP	기본 MP	기본 SP	기본 AC	기본 AR	기본 DR	FIRE	WATER	EARTH	AIR	MAGIC	최소 데미지	최대 데미지
21 	61.00 	48.00 	47.00 	17.00 	24.00 	20.00 	376 	92 	258 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
22 	64.00 	51.00 	50.00 	17.00 	26.00 	21.00 	400 	92 	275 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
23 	67.00 	53.00 	52.00 	18.00 	27.00 	21.00 	416 	97 	285 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
24 	70.00 	56.00 	55.00 	19.00 	28.00 	22.00 	440 	102 	302 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
25 	73.00 	59.00 	57.00 	20.00 	30.00 	22.00 	456 	108 	318 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
26 	77.00 	61.00 	59.00 	20.00 	31.00 	23.00 	472 	108 	328 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
27 	80.00 	64.00 	62.00 	21.00 	33.00 	23.00 	496 	113 	345 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
28 	84.00 	67.00 	65.00 	22.00 	34.00 	24.00 	520 	118 	361 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
29 	87.00 	70.00 	67.00 	23.00 	36.00 	24.00 	536 	124 	377 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
30 	91.00 	73.00 	70.00 	24.00 	37.00 	25.00 	560 	129 	393 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
31 	94.00 	76.00 	73.00 	25.00 	39.00 	25.00 	584 	135 	409 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
32 	98.00 	79.00 	75.00 	26.00 	40.00 	26.00 	600 	140 	425 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
33 	102.00 	82.00 	78.00 	26.00 	42.00 	26.00 	624 	140 	442 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
34 	106.00 	85.00 	81.00 	27.00 	43.00 	27.00 	648 	145 	458 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
35 	110.00 	88.00 	84.00 	28.00 	45.00 	27.00 	672 	151 	474 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
36 	114.00 	92.00 	87.00 	29.00 	47.00 	28.00 	696 	156 	495 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
37 	117.00 	95.00 	90.00 	30.00 	48.00 	28.00 	720 	162 	512 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
38 	121.00 	98.00 	93.00 	31.00 	50.00 	29.00 	744 	167 	528 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
39 	126.00 	101.00 	96.00 	32.00 	52.00 	29.00 	768 	172 	544 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
40 	130.00 	105.00 	99.00 	33.00 	54.00 	30.00 	792 	178 	565 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
41 	134.00 	108.00 	102.00 	34.00 	55.00 	30.00 	816 	183 	582 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
42 	138.00 	112.00 	105.00 	35.00 	57.00 	31.00 	840 	188 	603 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
43 	142.00 	115.00 	108.00 	36.00 	59.00 	31.00 	864 	194 	619 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
44 	147.00 	119.00 	111.00 	37.00 	61.00 	32.00 	888 	199 	641 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
45 	151.00 	122.00 	115.00 	38.00 	63.00 	32.00 	920 	205 	657 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
46 	155.00 	126.00 	118.00 	39.00 	64.00 	33.00 	944 	210 	678 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
47 	160.00 	130.00 	121.00 	40.00 	66.00 	33.00 	968 	215 	700 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
48 	164.00 	133.00 	125.00 	42.00 	68.00 	34.00 	1000 	226 	716 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
49 	169.00 	137.00 	128.00 	43.00 	70.00 	34.00 	1024 	232 	738 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
50 	173.00 	141.00 	131.00 	44.00 	72.00 	35.00 	1048 	237 	759 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
51 	178.00 	145.00 	135.00 	45.00 	74.00 	35.00 	1080 	242 	781 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
52 	183.00 	149.00 	138.00 	46.00 	76.00 	36.00 	1104 	248 	802 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
53 	187.00 	152.00 	142.00 	47.00 	78.00 	36.00 	1136 	253 	818 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
54 	192.00 	156.00 	145.00 	48.00 	80.00 	37.00 	1160 	258 	840 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
55 	197.00 	160.00 	149.00 	49.00 	82.00 	37.00 	1192 	264 	862 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
56 	202.00 	164.00 	152.00 	51.00 	84.00 	38.00 	1216 	275 	883 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
57 	207.00 	168.00 	156.00 	52.00 	86.00 	38.00 	1248 	280 	905 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
58 	212.00 	172.00 	160.00 	53.00 	88.00 	39.00 	1280 	285 	926 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
59 	217.00 	176.00 	163.00 	54.00 	90.00 	39.00 	1304 	291 	948 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
60 	221.00 	181.00 	167.00 	55.00 	92.00 	40.00 	1336 	296 	975 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
61 	227.00 	185.00 	171.00 	57.00 	94.00 	40.00 	1368 	307 	996 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
62 	232.00 	189.00 	175.00 	58.00 	97.00 	41.00 	1400 	312 	1018 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
63 	237.00 	193.00 	178.00 	59.00 	99.00 	41.00 	1424 	318 	1039 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
64 	242.00 	197.00 	182.00 	60.00 	101.00 	42.00 	1456 	323 	1061 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
65 	247.00 	202.00 	186.00 	61.00 	103.00 	42.00 	1488 	328 	1088 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
66 	252.00 	206.00 	190.00 	63.00 	105.00 	43.00 	1520 	339 	1109 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
67 	258.00 	210.00 	194.00 	64.00 	108.00 	43.00 	1552 	345 	1131 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
68 	263.00 	215.00 	198.00 	65.00 	110.00 	44.00 	1584 	350 	1158 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
69 	268.00 	219.00 	202.00 	67.00 	112.00 	44.00 	1616 	361 	1179 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
70 	273.00 	223.00 	206.00 	68.00 	114.00 	45.00 	1648 	366 	1201 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
71 	279.00 	228.00 	210.00 	69.00 	117.00 	45.00 	1680 	372 	1228 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
72 	284.00 	232.00 	214.00 	70.00 	119.00 	46.00 	1712 	377 	1249 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
73 	290.00 	237.00 	218.00 	72.00 	121.00 	46.00 	1744 	388 	1276 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
74 	295.00 	241.00 	222.00 	73.00 	123.00 	47.00 	1776 	393 	1298 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
75 	301.00 	246.00 	226.00 	74.00 	126.00 	47.00 	1808 	398 	1325 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
76 	306.00 	251.00 	230.00 	76.00 	128.00 	48.00 	1840 	409 	1352 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
77 	312.00 	255.00 	234.00 	77.00 	131.00 	48.00 	1872 	415 	1373 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
78 	318.00 	260.00 	239.00 	79.00 	133.00 	49.00 	1912 	425 	1400 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
79 	323.00 	265.00 	243.00 	80.00 	135.00 	49.00 	1944 	431 	1427 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
80 	329.00 	269.00 	247.00 	81.00 	138.00 	50.00 	1976 	436 	1448 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
81 	335.00 	274.00 	251.00 	83.00 	140.00 	50.00 	2008 	447 	1475 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
82 	341.00 	279.00 	256.00 	84.00 	143.00 	51.00 	2048 	452 	1502 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
83 	346.00 	284.00 	260.00 	85.00 	145.00 	51.00 	2080 	458 	1529 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
84 	352.00 	288.00 	264.00 	87.00 	148.00 	52.00 	2112 	468 	1551 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
85 	358.00 	293.00 	269.00 	88.00 	150.00 	52.00 	2152 	474 	1578 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
86 	364.00 	298.00 	273.00 	90.00 	153.00 	53.00 	2184 	485 	1605 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
87 	370.00 	303.00 	278.00 	91.00 	155.00 	53.00 	2224 	490 	1632 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
88 	376.00 	308.00 	282.00 	93.00 	158.00 	54.00 	2256 	501 	1658 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
89 	382.00 	313.00 	287.00 	94.00 	160.00 	54.00 	2296 	506 	1685 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 
90 	388.00 	318.00 	291.00 	96.00 	163.00 	55.00 	2328 	517 	1712 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
91 	394.00 	323.00 	296.00 	97.00 	165.00 	55.00 	2368 	522 	1739 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
92 	400.00 	328.00 	300.00 	98.00 	168.00 	56.00 	2400 	528 	1766 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
93 	406.00 	333.00 	305.00 	100.00 	170.00 	56.00 	2440 	538 	1793 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
94 	413.00 	338.00 	309.00 	101.00 	173.00 	57.00 	2472 	544 	1820 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
95 	419.00 	343.00 	314.00 	103.00 	176.00 	57.00 	2512 	555 	1847 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
96 	425.00 	348.00 	318.00 	104.00 	178.00 	58.00 	2544 	560 	1874 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
97 	431.00 	353.00 	323.00 	106.00 	181.00 	58.00 	2584 	571 	1901 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
98 	438.00 	359.00 	328.00 	107.00 	184.00 	59.00 	2624 	576 	1933 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
99 	444.00 	364.00 	333.00 	109.00 	186.00 	59.00 	2664 	587 	1960 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
100 	450.00 	369.00 	337.00 	111.00 	189.00 	60.00 	2696 	598 	1987 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 
1 																			
LV	STR	Dex	CON	WIS	INT	CHA	기본 HP	기본 MP	기본 SP	기본 AC	기본 AR	기본 DR	FIRE	WATER	EARTH	AIR	MAGIC	최소 데미지	최대 데미지
1 	11.00 	17.00 	10.00 	9.00 	9.00 	10.00 	80 	48 	92 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
2 	12.00 	18.00 	11.00 	9.00 	9.00 	11.00 	88 	48 	97 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
3 	13.00 	19.00 	12.00 	10.00 	10.00 	11.00 	96 	54 	102 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
4 	14.00 	21.00 	12.00 	10.00 	10.00 	12.00 	96 	54 	113 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
5 	15.00 	22.00 	13.00 	10.00 	11.00 	12.00 	104 	54 	118 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
6 	16.00 	24.00 	14.00 	11.00 	11.00 	13.00 	112 	59 	129 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
7 	18.00 	26.00 	15.00 	11.00 	12.00 	13.00 	120 	59 	140 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
8 	19.00 	28.00 	17.00 	12.00 	13.00 	14.00 	136 	65 	151 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
9 	20.00 	30.00 	18.00 	12.00 	13.00 	14.00 	144 	65 	162 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
10 	22.00 	32.00 	19.00 	13.00 	14.00 	15.00 	152 	70 	172 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
11 	24.00 	34.00 	21.00 	13.00 	15.00 	15.00 	168 	70 	183 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
12 	25.00 	36.00 	22.00 	14.00 	16.00 	16.00 	176 	75 	194 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
13 	27.00 	38.00 	23.00 	14.00 	16.00 	16.00 	184 	75 	205 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
14 	29.00 	41.00 	25.00 	15.00 	17.00 	17.00 	200 	81 	221 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
15 	31.00 	44.00 	27.00 	15.00 	18.00 	17.00 	216 	81 	237 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
16 	33.00 	46.00 	28.00 	16.00 	19.00 	18.00 	224 	86 	248 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
17 	35.00 	49.00 	30.00 	17.00 	20.00 	18.00 	240 	92 	264 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
18 	37.00 	52.00 	32.00 	17.00 	21.00 	19.00 	256 	92 	280 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
19 	39.00 	55.00 	34.00 	18.00 	22.00 	19.00 	272 	97 	296 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
20 	41.00 	57.00 	35.00 	19.00 	23.00 	20.00 	280 	102 	307 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
21 	44.00 	60.00 	37.00 	20.00 	24.00 	20.00 	296 	108 	323 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
22 	46.00 	64.00 	39.00 	20.00 	25.00 	21.00 	312 	108 	345 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
23 	48.00 	67.00 	41.00 	21.00 	26.00 	21.00 	328 	113 	361 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
24 	51.00 	70.00 	43.00 	22.00 	27.00 	22.00 	344 	118 	377 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
25 	53.00 	73.00 	45.00 	23.00 	28.00 	22.00 	360 	124 	393 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
26 	56.00 	77.00 	47.00 	23.00 	29.00 	23.00 	376 	124 	415 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
27 	58.00 	80.00 	49.00 	24.00 	31.00 	23.00 	392 	129 	431 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
28 	61.00 	83.00 	52.00 	25.00 	32.00 	24.00 	416 	135 	447 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
29 	64.00 	87.00 	54.00 	26.00 	33.00 	24.00 	432 	140 	468 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
30 	66.00 	90.00 	56.00 	27.00 	34.00 	25.00 	448 	145 	485 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
31 	69.00 	94.00 	58.00 	28.00 	35.00 	25.00 	464 	151 	506 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
32 	72.00 	98.00 	61.00 	29.00 	37.00 	26.00 	488 	156 	528 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
33 	75.00 	101.00 	63.00 	29.00 	38.00 	26.00 	504 	156 	544 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
34 	77.00 	105.00 	65.00 	30.00 	39.00 	27.00 	520 	162 	565 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
35 	80.00 	109.00 	68.00 	31.00 	41.00 	27.00 	544 	167 	587 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
36 	83.00 	113.00 	70.00 	32.00 	42.00 	28.00 	560 	172 	608 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
37 	86.00 	117.00 	73.00 	33.00 	43.00 	28.00 	584 	178 	630 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
38 	89.00 	121.00 	75.00 	34.00 	45.00 	29.00 	600 	183 	652 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
39 	92.00 	125.00 	78.00 	35.00 	46.00 	29.00 	624 	188 	673 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
40 	95.00 	129.00 	80.00 	36.00 	48.00 	30.00 	640 	194 	695 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
41 	98.00 	133.00 	83.00 	37.00 	49.00 	30.00 	664 	199 	716 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
42 	102.00 	137.00 	85.00 	38.00 	50.00 	31.00 	680 	205 	738 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
43 	105.00 	142.00 	88.00 	39.00 	52.00 	31.00 	704 	210 	765 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
44 	108.00 	146.00 	91.00 	40.00 	53.00 	32.00 	728 	215 	786 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
45 	111.00 	150.00 	93.00 	41.00 	55.00 	32.00 	744 	221 	808 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
46 	115.00 	155.00 	96.00 	42.00 	56.00 	33.00 	768 	226 	835 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
47 	118.00 	159.00 	99.00 	43.00 	58.00 	33.00 	792 	232 	856 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
48 	121.00 	164.00 	102.00 	45.00 	59.00 	34.00 	816 	242 	883 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
49 	125.00 	168.00 	105.00 	46.00 	61.00 	34.00 	840 	248 	905 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
50 	128.00 	173.00 	107.00 	47.00 	62.00 	35.00 	856 	253 	932 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
51 	132.00 	177.00 	110.00 	48.00 	64.00 	35.00 	880 	258 	953 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
52 	135.00 	182.00 	113.00 	49.00 	66.00 	36.00 	904 	264 	980 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
53 	139.00 	187.00 	116.00 	50.00 	67.00 	36.00 	928 	269 	1007 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
54 	142.00 	191.00 	119.00 	51.00 	69.00 	37.00 	952 	275 	1028 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
55 	146.00 	196.00 	122.00 	52.00 	70.00 	37.00 	976 	280 	1055 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
56 	149.00 	201.00 	125.00 	54.00 	72.00 	38.00 	1000 	291 	1082 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
57 	153.00 	206.00 	128.00 	55.00 	74.00 	38.00 	1024 	296 	1109 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
58 	157.00 	211.00 	131.00 	56.00 	75.00 	39.00 	1048 	302 	1136 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
59 	160.00 	215.00 	134.00 	57.00 	77.00 	39.00 	1072 	307 	1158 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
60 	164.00 	220.00 	137.00 	58.00 	79.00 	40.00 	1096 	312 	1185 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
61 	168.00 	225.00 	141.00 	60.00 	81.00 	40.00 	1128 	323 	1212 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
62 	172.00 	231.00 	144.00 	61.00 	82.00 	41.00 	1152 	328 	1244 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
63 	175.00 	236.00 	147.00 	62.00 	84.00 	41.00 	1176 	334 	1271 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
64 	179.00 	241.00 	150.00 	63.00 	86.00 	42.00 	1200 	339 	1298 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
65 	183.00 	246.00 	153.00 	64.00 	88.00 	42.00 	1224 	345 	1325 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
66 	187.00 	251.00 	157.00 	66.00 	89.00 	43.00 	1256 	355 	1352 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
67 	191.00 	256.00 	160.00 	67.00 	91.00 	43.00 	1280 	361 	1378 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
68 	195.00 	262.00 	163.00 	68.00 	93.00 	44.00 	1304 	366 	1411 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
69 	199.00 	267.00 	166.00 	70.00 	95.00 	44.00 	1328 	377 	1438 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
70 	203.00 	272.00 	170.00 	71.00 	97.00 	45.00 	1360 	382 	1465 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
71 	207.00 	278.00 	173.00 	72.00 	98.00 	45.00 	1384 	388 	1497 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
72 	211.00 	283.00 	177.00 	73.00 	100.00 	46.00 	1416 	393 	1524 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
73 	215.00 	288.00 	180.00 	75.00 	102.00 	46.00 	1440 	404 	1551 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
74 	219.00 	294.00 	183.00 	76.00 	104.00 	47.00 	1464 	409 	1583 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
75 	224.00 	299.00 	187.00 	77.00 	106.00 	47.00 	1496 	415 	1610 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
76 	228.00 	305.00 	190.00 	79.00 	108.00 	48.00 	1520 	425 	1642 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
77 	232.00 	311.00 	194.00 	80.00 	110.00 	48.00 	1552 	431 	1675 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
78 	236.00 	316.00 	197.00 	82.00 	112.00 	49.00 	1576 	442 	1702 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
79 	240.00 	322.00 	201.00 	83.00 	114.00 	49.00 	1608 	447 	1734 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
80 	245.00 	328.00 	204.00 	84.00 	116.00 	50.00 	1632 	452 	1766 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
81 	249.00 	333.00 	208.00 	86.00 	118.00 	50.00 	1664 	463 	1793 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
82 	253.00 	339.00 	212.00 	87.00 	120.00 	51.00 	1696 	468 	1825 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
83 	258.00 	345.00 	215.00 	88.00 	122.00 	51.00 	1720 	474 	1858 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
84 	262.00 	351.00 	219.00 	90.00 	124.00 	52.00 	1752 	485 	1890 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
85 	266.00 	357.00 	223.00 	91.00 	126.00 	52.00 	1784 	490 	1922 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
86 	271.00 	362.00 	226.00 	93.00 	128.00 	53.00 	1808 	501 	1949 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
87 	275.00 	368.00 	230.00 	94.00 	130.00 	53.00 	1840 	506 	1982 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
