Target Type	Target TID	Class	Skill TID	Probability	Item Set	Skill TID	Probability	Item Set	Skill TID	Probability	Item Set
	506	knight	284	80	170	202	80	173	201	80	172
	506	ranger	284	80	170	202	80	173	201	80	172
	506	mage	284	80	170	202	80	173	201	80	172
	307	knight	284	80	122	202	80	26	201	80	27
	307	ranger	284	80	122	202	80	26	201	80	27
	307	mage	284	80	122	202	80	26	201	80	27
	281	knight	284	80	24				201	80	69
	281	ranger	284	80	24				201	80	69
	281	mage	284	80	24				201	80	69
	722	knight	284	80	138						
	722	ranger	284	80	138						
	722	mage	284	80	138						
	761	knight	284	80	138						
	761	ranger	284	80	138						
	761	mage	284	80	138						
	472	knight	284	80	186	202	80	164			
	472	ranger	284	80	186	202	80	164			
	472	mage	284	80	186	202	80	164			
	480	knight	284	80	166						
	480	ranger	284	80	166						
	480	mage	284	80	166						
	17	knight	284	80	44	202	80	45	201	80	46
	17	ranger	284	80	44	202	80	45	201	80	46
	17	mage	284	80	44	202	80	45	201	80	46
	284	knight	284	80	24				201	80	69
	284	ranger	284	80	24				201	80	69
	284	mage	284	80	24				201	80	69
	85	knight	284	80	40						
	85	ranger	284	80	40						
	85	mage	284	80	40						
	513	knight	284	80	179	202	80	181			
	513	ranger	284	80	179	202	80	181			
	513	mage	284	80	179	202	80	181			
	507	knight	284	80	170	202	80	173	201	80	172
	507	ranger	284	80	170	202	80	173	201	80	172
	507	mage	284	80	170	202	80	173	201	80	172
	309	knight	284	80	44	202	80	45	201	80	46
	309	ranger	284	80	44	202	80	45	201	80	46
	309	mage	284	80	44	202	80	45	201	80	46
	713	knight	284	80	157						
	713	ranger	284	80	157						
	713	mage	284	80	157						
	282	knight	284	80	120				201	80	69
	282	ranger	284	80	120				201	80	69
	282	mage	284	80	120				201	80	69
	194	knight	284	80	138						
	194	ranger	284	80	138						
	194	mage	284	80	138						
	476	knight	284	80	176						
	476	ranger	284	80	176						
	476	mage	284	80	176						
	498	knight	284	80	191	202	80	193	201	80	192
	498	ranger	284	80	191	202	80	193	201	80	192
	498	mage	284	80	191	202	80	193	201	80	192
	90	knight	284	80	123	202	80	26	201	80	27
	90	ranger	284	80	123	202	80	26	201	80	27
	90	mage	284	80	123	202	80	26	201	80	27
	335	knight	284	80	120				201	80	69
	335	ranger	284	80	120				201	80	69
	335	mage	284	80	120				201	80	69
	29	knight	284	80	132	202	80	42	201	80	43
	29	ranger	284	80	132	202	80	42	201	80	43
	29	mage	284	80	132	202	80	42	201	80	43
	86	knight	284	80	131						
	86	ranger	284	80	131						
	86	mage	284	80	131						
	502	knight	284	80	187	202	80	164			
	502	ranger	284	80	187	202	80	164			
	502	mage	284	80	187	202	80	164			
	519	knight	284	80	167						
	519	ranger	284	80	167						
	519	mage	284	80	167						
	483	knight	284	80	171	202	80	173	201	80	172
	483	ranger	284	80	171	202	80	173	201	80	172
	483	mage	284	80	171	202	80	173	201	80	172
	77	knight	284	80	103	202	80	4	201	80	5
	77	ranger	284	80	103	202	80	4	201	80	5
	77	mage	284	80	103	202	80	4	201	80	5
	499	knight	284	80	191	202	80	193	201	80	192
	499	ranger	284	80	191	202	80	193	201	80	192
	499	mage	284	80	191	202	80	193	201	80	192
	514	knight	284	80	180	202	80	181			
	514	ranger	284	80	180	202	80	181			
	514	mage	284	80	180	202	80	181			
	272	knight	284	80	105	202	80	7			
	272	ranger	284	80	105	202	80	7			
	272	mage	284	80	105	202	80	7			
	456	knight	284	80	48	202	80	49			
	456	ranger	284	80	48	202	80	49			
	456	mage	284	80	48	202	80	49			
	503	knight	284	80	187	202	80	164			
	503	ranger	284	80	187	202	80	164			
	503	mage	284	80	187	202	80	164			
	520	knight	284	80	167						
	520	ranger	284	80	167						
	520	mage	284	80	167						
	274	knight	284	80	128						
	274	ranger	284	80	128						
	274	mage	284	80	128						
	732	knight	284	80	151						
	732	ranger	284	80	151						
	732	mage	284	80	151						
	510	knight	284	80	176						
	510	ranger	284	80	176						
	510	mage	284	80	176						
	482	knight	284	80	187	202	80	164			
	482	ranger	284	80	187	202	80	164			
	482	mage	284	80	187	202	80	164			
	273	knight	284	80	105	202	80	7			
	273	ranger	284	80	105	202	80	7			
	273	mage	284	80	105	202	80	7			
	124	knight	284	80	103	202	80	4			
	124	ranger	284	80	103	202	80	4			
	124	mage	284	80	103	202	80	4			
	87	knight	284	80	108	202	80	10			
	87	ranger	284	80	108	202	80	10			
	87	mage	284	80	108	202	80	10			
	193	knight	284	80	105	202	80	7			
	193	ranger	284	80	105	202	80	7			
	193	mage	284	80	105	202	80	7			
	324	knight	284	80	128						
	324	ranger	284	80	128						
	324	mage	284	80	128						
	458	knight	284	80	114	202	80	16	201	80	17
	458	ranger	284	80	114	202	80	16	201	80	17
	458	mage	284	80	114	202	80	16	201	80	17
	336	knight	284	80	123	202	80	26	201	80	27
	336	ranger	284	80	123	202	80	26	201	80	27
	336	mage	284	80	123	202	80	26	201	80	27
	35	knight	284	80	64				201	80	71
	35	ranger	284	80	64				201	80	71
	35	mage	284	80	64				201	80	71
	5	knight	284	80	64				201	80	71
	5	ranger	284	80	64				201	80	71
	5	mage	284	80	64				201	80	71
	743	knight	284	80	141						
	743	ranger	284	80	141						
	743	mage	284	80	141						
	521	knight	284	80	194						
	521	ranger	284	80	194						
	521	mage	284	80	194						
	531	knight	284	80	194						
	531	ranger	284	80	194						
	531	mage	284	80	194						
	305	knight	284	80	64				201	80	71
	305	ranger	284	80	64				201	80	71
	305	mage	284	80	64				201	80	71
	302	knight	284	80	64				201	80	71
	302	ranger	284	80	64				201	80	71
	302	mage	284	80	64				201	80	71
	19	knight	284	80	108	202	80	10			
	19	ranger	284	80	108	202	80	10			
	19	mage	284	80	108	202	80	10			
	288	knight	284	80	114	202	80	16	201	80	17
	288	ranger	284	80	114	202	80	16	201	80	17
	288	mage	284	80	114	202	80	16	201	80	17
	24	knight	284	80	130	202	80	39			
	24	ranger	284	80	130	202	80	39			
	24	mage	284	80	130	202	80	39			
	522	knight	284	80	194						
	522	ranger	284	80	194						
	522	mage	284	80	194						
	532	knight	284	80	194						
	532	ranger	284	80	194						
	532	mage	284	80	194						
	304	knight	284	80	64				201	80	71
	304	ranger	284	80	64				201	80	71
	304	mage	284	80	64				201	80	71
	332	knight	284	80	64				201	80	71
	332	ranger	284	80	64				201	80	71
	332	mage	284	80	64				201	80	71
	310	knight	284	80	148						
	310	ranger	284	80	148						
	310	mage	284	80	148						
	298	knight	284	80	114	202	80	16	201	80	17
	298	ranger	284	80	114	202	80	16	201	80	17
	298	mage	284	80	114	202	80	16	201	80	17
	524	knight	284	80	196						
	524	ranger	284	80	196						
	524	mage	284	80	196						
	534	knight	284	80	196						
	534	ranger	284	80	196						
	534	mage	284	80	196						
	525	knight	284	80	131						
	525	ranger	284	80	131						
	525	mage	284	80	131						
	535	knight	284	80	131						
	535	ranger	284	80	131						
	535	mage	284	80	131						
	756	knight	284	80	123	202	80	26			
	756	ranger	284	80	123	202	80	26			
	756	mage	284	80	123	202	80	26			
	637	knight	284	80	64				201	80	71
	637	ranger	284	80	64				201	80	71
	637	mage	284	80	64				201	80	71
	308	knight	284	80	114	202	80	16	201	80	17
	308	ranger	284	80	114	202	80	16	201	80	17
	308	mage	284	80	114	202	80	16	201	80	17
	807	knight	284	80	160				201	80	71
	807	ranger	284	80	160				201	80	71
	807	mage	284	80	160				201	80	71
	22	knight	284	80	160				201	80	71
	22	ranger	284	80	160				201	80	71
	22	mage	284	80	160				201	80	71
	733	knight	284	80	152						
	733	ranger	284	80	152						
	733	mage	284	80	152						
	650	knight	284	80	109	202	80	10			
	650	ranger	284	80	109	202	80	10			
	650	mage	284	80	109	202	80	10			
	315	knight	284	80	114	202	80	16	201	80	17
	315	ranger	284	80	114	202	80	16	201	80	17
	315	mage	284	80	114	202	80	16	201	80	17
	289	knight	284	80	125	202	80	29			
	289	ranger	284	80	125	202	80	29			
	289	mage	284	80	125	202	80	29			
	523	knight	284	80	195						
	523	ranger	284	80	195						
	523	mage	284	80	195						
	533	knight	284	80	195						
	533	ranger	284	80	195						
	533	mage	284	80	195						
	79	knight	284	80	119						
	79	ranger	284	80	119						
	79	mage	284	80	119						
	751	knight	284	80	146						
	751	ranger	284	80	146						
	751	mage	284	80	146						
	754	knight	284	80	139						
	754	ranger	284	80	139						
	754	mage	284	80	139						
	526	knight	284	80	115	202	80	16	201	80	17
	526	ranger	284	80	115	202	80	16	201	80	17
	526	mage	284	80	115	202	80	16	201	80	17
	537	knight	284	80	115	202	80	16	201	80	17
	537	ranger	284	80	115	202	80	16	201	80	17
	537	mage	284	80	115	202	80	16	201	80	17
	723	knight	284	80	36						
	723	ranger	284	80	36						
	723	mage	284	80	36						
	316	knight	284	80	59				201	80	60
	316	ranger	284	80	59				201	80	60
	316	mage	284	80	59				201	80	60
	291	knight	284	80	125	202	80	29			
	291	ranger	284	80	125	202	80	29			
	291	mage	284	80	125	202	80	29			
	527	knight	284	80	115	202	80	16	201	80	17
	527	ranger	284	80	115	202	80	16	201	80	17
	527	mage	284	80	115	202	80	16	201	80	17
	536	knight	284	80	115	202	80	16	201	80	17
	536	ranger	284	80	115	202	80	16	201	80	17
	536	mage	284	80	115	202	80	16	201	80	17
	81	knight	284	80	119						
	81	ranger	284	80	119						
	81	mage	284	80	119						
	321	knight	284	80	121						
	321	ranger	284	80	121						
	321	mage	284	80	121						
	630	knight	284	80	111	202	80	13			
	630	ranger	284	80	111	202	80	13			
	630	mage	284	80	111	202	80	13			
	529	knight	284	80	139						
	529	ranger	284	80	139						
	529	mage	284	80	139						
	539	knight	284	80	139						
	539	ranger	284	80	139						
	539	mage	284	80	139						
	632	knight	284	80	115	202	80	16	201	80	17
	632	ranger	284	80	115	202	80	16	201	80	17
	632	mage	284	80	115	202	80	16	201	80	17
	334	knight	284	80	119						
	334	ranger	284	80	119						
	334	mage	284	80	119						
	726	knight	284	80	36						
	726	ranger	284	80	36						
	726	mage	284	80	36						
	750	knight	284	80	146						
	750	ranger	284	80	146						
	750	mage	284	80	146						
	755	knight	284	80	139						
	755	ranger	284	80	139						
	755	mage	284	80	139						
	528	knight	284	80	115	202	80	16	201	80	17
	528	ranger	284	80	115	202	80	16	201	80	17
	528	mage	284	80	115	202	80	16	201	80	17
	538	knight	284	80	115	202	80	16	201	80	17
	538	ranger	284	80	115	202	80	16	201	80	17
	538	mage	284	80	115	202	80	16	201	80	17
	338	knight	284	80	121						
	338	ranger	284	80	121						
	338	mage	284	80	121			
	744	knight	284	80	142			
	744	ranger	284	80	142			
	744	mage	284	80	142			
	530	knight	284	80	111	202	80	13
	530	ranger	284	80	111	202	80	13
	530	mage	284	80	111	202	80	13
	540	knight	284	80	111	202	80	13
	540	ranger	284	80	111	202	80	13
	540	mage	284	80	111	202	80	13
	136	knight	284	80	47			
	136	ranger	284	80	47			
	136	mage	284	80	47			
	469	knight	284	80	195			
	469	ranger	284	80	195			
	469	mage	284	80	195			
	314	knight	284	80	149
	314	ranger	284	80	149
	314	mage	284	80	149
	727	knight	284	80	36
	727	ranger	284	80	36
	727	mage	284	80	36
	752	knight	284	80	146
	752	ranger	284	80	146
	752	mage	284	80	146
	23	knight	284	80	47
	23	ranger	284	80	47
	23	mage	284	80	47
	544	knight	284	80	195
	544	ranger	284	80	195
	544	mage	284	80	195
	545	knight	284	80	195
	545	ranger	284	80	195			
	545	mage	284	80	195			
	559	knight	284	80	139			
	559	ranger	284	80	139			
	559	mage	284	80	139			
	561	knight	284	80	152			
	561	ranger	284	80	152			
	561	mage	284	80	152			
	328	knight	284	80	109	202	80	10
	328	ranger	284	80	109	202	80	10
	328	mage	284	80	109	202	80	10
	716	knight	284	80	146			
	716	ranger	284	80	146			
	716	mage	284	80	146			
	330	knight	284	80	149			
	330	ranger	284	80	149			
	330	mage	284	80	149						
	730	knight	284	80	36						
	730	ranger	284	80	36						
	730	mage	284	80	36						
	320	knight	284	80	47						
	320	ranger	284	80	47						
	320	mage	284	80	47						
	753	knight	284	80	139						
	753	ranger	284	80	139						
	753	mage	284	80	139						
	546	knight	284	80	195						
	546	ranger	284	80	195						
	546	mage	284	80	195						
	547	knight	284	80	195						
	547	ranger	284	80	195						
	547	mage	284	80	195						
	551	knight	284	80	115	202	80	16	201	80	17
	551	ranger	284	80	115	202	80	16	201	80	17
	551	mage	284	80	115	202	80	16	201	80	17
	556	knight	284	80	199	202	80	7			
	556	ranger	284	80	199	202	80	7			
	556	mage	284	80	199	202	80	7			
	560	knight	284	80	139						
	560	ranger	284	80	139						
	560	mage	284	80	139						
	562	knight	284	80	152						
	562	ranger	284	80	152						
	562	mage	284	80	152						
	728	knight	284	80	129						
	728	ranger	284	80	129						
	728	mage	284	80	129						
	710	knight	284	80	134	202	80	49	201	80	50
	710	ranger	284	80	134	202	80	49	201	80	50
	710	mage	284	80	134	202	80	49	201	80	50
	711	knight	284	80	139						
	711	ranger	284	80	139						
	711	mage	284	80	139						
	548	knight	284	80	197						
	548	ranger	284	80	197						
	548	mage	284	80	197						
	552	knight	284	80	198	202	80	16	201	80	17
	552	ranger	284	80	198	202	80	16	201	80	17
	552	mage	284	80	198	202	80	16	201	80	17
	557	knight	284	80	200	202	80	7			
	557	ranger	284	80	200	202	80	7			
	557	mage	284	80	200	202	80	7			
	564	knight	284	80	153						
	564	ranger	284	80	153						
	564	mage	284	80	153						
	287	knight	284	80	150						
	287	ranger	284	80	150						
	287	mage	284	80	150						
	729	knight	284	80	129						
	729	ranger	284	80	129						
	729	mage	284	80	129						
	333	knight	284	80	133						
	333	ranger	284	80	133						
	333	mage	284	80	133						
	734	knight	284	80	153						
