TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType
102	Hen	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
103	Chick	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				125 	125 	21 	12 	30 	7 	5 	8 	50 	20 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
104	Cow	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1700 	1700 	21 	12 	30 	7 	5 	8 	50 	300 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
105	Horse	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1125 	1125 	21 	12 	30 	7 	5 	8 	50 	300 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
106	Lamb	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				450 	450 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
107	Dog	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				525 	525 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
108	Sheep	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				900 	900 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
109	Cat	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				889 	889 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
110	Billy Goat	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1500 	1500 	21 	12 	30 	7 	5 	8 	50 	250 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
111	Young Goat	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				955 	955 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
112	Mother Pig	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	250 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
113	Piglet	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1500 	1500 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
114	Rhinoceros Mother	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				900 	900 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
115	Young Rhinoceros	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	280 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
465	Crab A	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				10 	10 	21 	12 	30 	7 	5 	8 	50 	10 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
466	Crab B	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				10 	10 	21 	12 	30 	7 	5 	8 	50 	10 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
467	Seagull	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				100 	100 	21 	12 	30 	7 	5 	8 	50 	10 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
666	Peacock	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				220 	220 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											0		1	1		
667	Lion Cub	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				570 	570 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
668	Black Panther	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1120 	1120 	21 	12 	30 	7 	5 	8 	50 	100 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
669	Horse	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1170 	1170 	21 	12 	30 	7 	5 	8 	50 	300 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
670	Pony	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				670 	670 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
675	Mountain Goat	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
676	Mountain Goat Kid	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				480 	480 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
677	Donkey	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
681	Pack Donkey	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
683	Buffalo	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
686	Pack Buffalo	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
687	Antelope	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1800 	1800 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
689	Pack Antelope	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1800 	1800 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1351	Sarazaran	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1355	Mercoon	8				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1361	Rakundel	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				700 	700 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1362	Dookie	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				300 	300 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1365	Lu	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				170 	170 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1386	Latiman	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				270 	270 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
195	Ramda	8				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1392	Milfi	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				150 	150 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1398	Bloom	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				200 	200 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1391	Abrahya	8				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1396	Teful	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				200 	200 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1395	Pekki	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				250 	250 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1507	r-deer	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1580	¼³ÀÌº¥Æ®Áã_A	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1581	¼³ÀÌº¥Æ®Áã_B	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1582	¼³ÀÌº¥Æ®Áã_C	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1583	¼³ÀÌº¥Æ®Áã_D	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
1584	¼³ÀÌº¥Æ®Áã_E	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9.00 	5.00 	9.00 	3.00 											1		1	1		
132 	Membreathen Guard Commander	196625 	1 			99 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	5000 	10000 	65 	200 	100 	100 	100 	100 	100 																																																													77A0FE				0		1	1		
133 	Membreathen Guard	196625 	1 			99 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	5000 	10000 	65 	200 	100 	100 	100 	100 	100 																																																													77A0FE				0		1	1		
130 	Trilgard Guard Commander	196625 	2 			99 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	5000 	10000 	65 	200 	100 	100 	100 	100 	100 																																																													77A0FE				0		1	1		
131 	Trilgard Guard	196625 	2 			99 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	5000 	10000 	65 	200 	100 	100 	100 	100 	100 																																																													77A0FE				0		1	1		
896 	Moon Elf Guard	196625 	2 			99 	500 	500 	500 	500 	500 	500 	2000 	500000 	50000 	50000 				2000 	7000 	1000 	1000 	1000 	1000 	5000 	10000 	65 	200 	100 	100 	100 	100 	100 																																																													77A0FE				0		1	1		
98 	GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1		1	1		
97 	White GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1		1	1		
99 	Black GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1		1	1		
134 	Orc GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								1		1	1		
462 	Moon Elf GM Elementalist	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0		1	1		
463 	Moon Elf GM Ranger	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0		1	1		
886 	Moon Elf GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0		1	1		
887 	Moon Elf GM	65569 	1 	1 	1 	110 	700 	700 	700 	700 	700 	700 	4500 	100000 	100000 	100000 				21000 	21000 	1000 	1000 	1000 	1000 	5000 	10000 	50 	500 	100 	100 	100 	100 	100 						0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 									2500 																																								0		1	1		
567	White Horse	196672 	1 			35															9000																																																																														1		1	1		
568	Lightly-armored White Horse	196672 	1 			50															10500																																																																														1		1	1		
569	Heavily-armored White Horse	196672 	1 			61															12000																																																																														1		1	1		
436	ÈÞ¸Õ_°í·¾Å»°Í_¹é¸¶	196672 	1 			72															13500																																																																														1		1	1		
570	Black Horse	196672 	1 			36															9000																																																																														1		1	1		
571	Lightly-armored Black Horse	196672 	1 			51															10500																																																																														1		1	1		
572	Heavily-armored Black Horse	196672 	1 			62															12000																																																																														1		1	1		
437	ÈÞ¸Õ_°í·¾Å»°Í_Èæ¸¶	196672 	1 			73															13500																																																																														1		1	1		
573	Black Desert Rhino	196672 	2 			35															9000																																																																														1		1	1		
574	Lightly-armored Black Desert Rhino	196672 	2 			50															10500																																																																														1		1	1		
575	Heavily-armored Black Desert Rhino	196672 	2 			61															12000																																																																														1		1	1		
438	¿ÀÅ©_°í·¾Å»°Í_¹é	196672 	2 			72															13500																																																																														1		1	1		
602	Gray Desert Rhino	196672 	2 			36															9000																																																																														1		1	1		
604	Lightly-armored Gray Desert Rhino	196672 	2 			51															10500																																																																														1		1	1		
605	Heavily-armored Gray Desert Rhino	196672 	2 			62															12000																																																																														1		1	1		
439	¿ÀÅ©_°í·¾Å»°Í_Èæ	196672 	2 			73															13500																																																																														1		1	1		
606	Albileon	196672 	3 			35															9000																																																																														1		1	1		
607	Lightly-armored Albileon	196672 	3 			50															10500																																																																														1		1	1		
608	Heavily-armored Albileon	196672 	3 			61															12000																																																																														1		1	1		
441	¹®¿¤ÇÁ_°í·¾Å»°Í_¹é	196672 	3 			72															13500																																																																														1		1	1		
609	Caerleon	196672 	3 			36															9000																																																																														1		1	1		
610	Lightly-armored Caerleon	196672 	3 			51															10500																																																																														1		1	1		
611	Heavily-armored Caerleon	196672 	3 			62															12000																																																																														1		1	1		
440	¹®¿¤ÇÁ_°í·¾Å»°Í_Èæ	196672 	3 			73															13500																																																																														1		1	1		
844	Human Expedition Mount	196672 	3 			1															12000																																																																														1		1	1		
616	Orc Expedition Mount	196672 	3 			1															12000																																																																														1		1	1		
614	Moon Elf Expedition Mount	196672 	3 			1															12000																																																																														1		1	1		
1403	ÈÞ¸Õµå·¡°ï1	196672 	3 			85															15000																																																																														1		1	1		
1408	ÈÞ¸Õµå·¡°ï2	196672 	3 			86															15000																																																																														1		1	1		
1405	¿ÀÅ©µå·¡°ï1	196672 	3 			85															15000																																																																														1		1	1		
1407	¿ÀÅ©µå·¡°ï2	196672 	3 			86															15000																																																																														1		1	1		
1404	¹®¿¤ÇÁµå·¡°ï1	196672 	3 			85															15000																																																																														1		1	1		
1406	¹®¿¤ÇÁµå·¡°ï2	196672 	3 			86															15000																																																																														1		1	1		
1295	Alcadia	196672 				1															20000																																																																														0		1	1		
1268	Guard Tower												50 	3000000 																																																																																									1	
1278	Destroying Guard Tower																																																																																																						1	
1279	Guard Tower Ruins																																																																																																						1	
1263	Siege Revival Camp												50 	1000000 																																																																																									9	
1280	Razed Siege Revival Camp																																																																																																						9	
1264	Revival Tower												50 	1000000 																																																																																									5	
1281	Destroyed Revival Tower																																																																																																						5	
1317	Tower of Life												50 	1000000 																																																																																									4	
1318	Destroyed Tower of Life																																																																																																						4	
1265	Inner Castle Gate												50 	1500000 																																																																																									2	
1283	Destroying Inner Castle Gate																																																																																																						2	
1284	Inner Castle Gate Ruins																																																																																																						2	
1269	Outer Castle Gate												50 	3000000 																																																																																									3	
1287	Destroying Outer Castle Gate																																																																																																						3	
1288	Outer Castle Gate Ruins																																																																																																						3	
1266	Archon's Eye												50 	500000 																																																																																									7	
1364	Eye of Archon Awakening																																																																																																						7	
1267	Archon Protective																									100 	200 														20 	30 	20 	30 	20 	30 	20 	30 	20 	30 	10 	20 	10 	20 	10 	20 																																															8	
1258	Catapult												50 	1000000 												500000 	600000 	10 	20000 																																																																										10	
1290	Razed Catapult																																																																																																						10	
1312	Sealed Throne												50 	1000000 																																																																																									6	
1305	Rensphere Outer Castle Gate												50 	3000000 																																																																																									3	
1397	Rensphere Outer Castle Gate Breached																																																																																																						3	
378	Rensphere Inner Castle Gate																																																																																																						2	
198	Archon Fountain																																																																																																						6	
367	Gate												50 	3000000 																																																																																									3	
369	Gate is under destruction																																																																																																						3	
368	Ruins of Gate																																																																																																						3	
1367	Æ®·¦_¹«³ÊÁü01	1114116 				80								10000 															800 																																																																											
1374	Æ®·¦_¹«³ÊÁü01_Á×±â	1114116 				80																																																																																																		
1368	Æ®·¦_¹«³ÊÁü02	1114116 				80								10000 															800 																																																																											
1375	Æ®·¦_¹«³ÊÁü02_Á×±â	1114116 				80																																																																																																		
1369	Æ®·¦_¹«³ÊÁü03	1114116 				80								10000 															800 																																																																											
1376	Æ®·¦_¹«³ÊÁü03_Á×±â	1114116 				80																																																																																																		
1377	Æ®·¦_¹Ù´Ú01	65540 				80																							400 																																																																											
1378	Æ®·¦_¹Ù´Ú02	65540 				80																							400 																																																																											
1379	Æ®·¦_¹Ù´Ú03	65540 				80																							400 																																																																											
1380	Æ®·¦_¹Ù´Ú04	1114116 				80																							400 																																																																											
1381	Æ®·¦_¹Ù´Ú05	1114116 				80																							400 																																																																											
1382	Æ®·¦_¹Ù´Ú06	1114116 				80																							400 																																																																											
1383	Æ®·¦_ºÐÃâ01	1114116 				80																							1200 																																																																											
1384	Æ®·¦_Âî¸£±â01	1114116 				80																							400 																																																																											
361	Æ®·¦_Âî¸£±â02	1114116 				80																							400 																																																																											
371	Æ®·¦_³«·Ú	1114116 				85																							400 																																																																											
372	Æ®·¦_¿ïÅ¸¸®¹ø°³	1114116 				85																							400 																																																																											
370	Æ®·¦_È¯Çü¹ø°³	1114116 				85																							800 																																																																											
373	Æ®·¦_µ¶°¡½º	1114116 				90																							400 																																																																											
374	Æ®·¦_µ¶°¡½Ã	65540 				90																							500 																																																																											
375	Æ®·¦_µ¶¿õµ¢ÀÌ	65540 				90																							500 																																																																											
138	Human NPC Knight 1	2																																																																																																	0					
139	Human NPC Knight 2	2																																																																																																	0					
140	Human NPC Knight 3	2																																																																																																	0					
141	Human NPC Monk 1	2																																																																																																	0					
142	Human NPC Monk 2	2																																																																																																	0					
143	Human NPC Monk 3	2																																																																																																	0					
144	Human NPC Mage 1	2																																																																																																	0					
145	Human NPC Mage 2	2																																																																																																	0					
146	Human NPC Mage 3	2																																																																																																	0					
147	Human NPC Archer 1	2																																																																																																	0					
148	Human NPC Archer 2	2																																																																																																	0					
