TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide
317	军用十字镐	1	1	6	1			2						1	300	2	16750848		800	80		1	2	45	2	6	2	4	100	60	13	25																																																						3	饭绢公扁	33	茄颊敌扁	9													
20	钉头槌	11	5	16	1			2						1	400	1			2000	200		1	1	37	1	4	1	3	100	60	16	28																																																						1	畴钢公扁	13	茄颊敌扁	8													
514	萨维奇战槌	11	5	16	1			2						1	300	2	16750848		2400	240		1	2	45	2	6	2	4	100	60	20	32																																																						3	饭绢公扁	33	茄颊敌扁	9													
1910	残酷战槌	11	5	16	1			2						1	100	3	10503406		2800	280		1	3	52	4	8	3	5	100	60	24	36																																																						5	蜡聪农公扁	53	茄颊敌扁	10													
4017	残酷战槌	1			1			2						20	100	4	11968874		2800	280		1	3	67	6	8	4	5	100	60	44	62																																																						7	郡府飘公扁	73	茄颊敌扁	10													
1911	战锤	20	14	25	1			2						1	400	1			6000	600		1	1	37	1	4	1	3	100	60	26	38																																																						1	畴钢公扁	13	茄颊敌扁	9													
517	百夫长之锤	20	14	25	1			2						1	300	2	16750848		7200	720		1	2	45	2	6	2	4	100	60	30	42																																																						3	饭绢公扁	33	茄颊敌扁	10													
2222	驱逐之锤	20	14	25	1			2						1	100	3	10503406		8400	840		1	3	52	4	8	3	5	100	60	34	46																																																						5	蜡聪农公扁	53	茄颊敌扁	11													
4018	驱逐之锤	1	14	25	1			2						20	100	4	11968874		8400	840		1	3	67	6	8	4	5	100	60	59	76																																																						7	郡府飘公扁	73	茄颊敌扁	11													
41	流星锤	29	23	34	1			2						1	400	1			21000	2100		1	1	37	1	4	1	3	100	60	39	51																																																						1	畴钢公扁	13	茄颊敌扁	10													
515	太阳神之流星锤	29	23	34	1			2						1	300	2	16750848		25200	2520		1	2	45	2	6	2	4	100	60	43	55																																																						3	饭绢公扁	33	茄颊敌扁	11													
1912	农夫大槌	29	23	34	1			2						1	100	3	10503406		29400	2940		1	3	52	4	8	3	5	100	60	47	59																																																						5	蜡聪农公扁	53	茄颊敌扁	12													
4019	农夫大槌	1			1			2						20	100	4	11968874		29400	2940		1	3	67	6	8	4	5	100	60	78	96																																																						7	郡府飘公扁	73	茄颊敌扁	12													
512	大槌	38	32	43	1			2						1	400	1			63000	6300		1	1	37	1	4	1	3	100	60	53	65																																																						1	畴钢公扁	13	茄颊敌扁	10													
518	守护者大槌	38	32	43	1			2						1	300	2	16750848		75600	7560		1	2	45	2	6	2	4	100	60	57	69																																																						3	饭绢公扁	33	茄颊敌扁	11													
2225	头骨破坏者	38	32	43	1			2						1	100	3	10503406		88200	8820		1	3	52	4	8	3	5	100	60	61	73																																																						5	蜡聪农公扁	53	茄颊敌扁	12													
4020	头骨破坏者	38	32	43	1			2						20	100	4	11968874		88200	8820		1	3	67	6	8	4	5	100	60	99	117																																																						7	郡府飘公扁	73	茄颊敌扁	12													
513	力量钉头槌	47	41	52	1			2						1	400	1			160000	16000		1	1	74	1	4	1	3	100	60	70	82																																																						1	畴钢公扁	13	茄颊敌扁	11													
516	圣光战槌	47	41	52	1			2						1	300	2	16750848		192000	19200		1	2	89	2	6	2	4	100	60	74	86																																																						3	饭绢公扁	33	茄颊敌扁	12													
1913	神圣战槌	47	41	52	1			2						1	100	3	10503406		224000	22400		1	3	104	4	8	3	5	100	60	78	90																																																						5	蜡聪农公扁	53	茄颊敌扁	13													
4021	神圣战槌	47	41	52	1			2						20	100	4	11968874		224000	22400		1	3	133	6	8	4	5	100	60	104	119																																																						7	郡府飘公扁	73	茄颊敌扁	13													
3224	火光流星锤	55	49	60	1			2						1	400	1			215000	21500		1	1	74	1	4	1	3	100	60	86	98																																																						1	畴钢公扁	13	茄颊敌扁	11													
3225	黄金流星	55	49	60	1			2						1	300	2	16750848		258000	25800		1	2	89	2	6	2	4	100	60	90	102																																																						3	饭绢公扁	33	茄颊敌扁	12													
3226	暴力流星锤	55	49	60	1			2						1	100	3	10503406		301000	30100		1	3	104	4	8	3	5	100	60	94	106																																																						5	蜡聪农公扁	53	茄颊敌扁	13													
4022	暴力流星锤	55	49	60	1			2						20	100	4	11968874		301000	30100		1	3	133	6	8	4	5	100	60	128	147																																																						7	郡府飘公扁	73	茄颊敌扁	13													
3227	怨恨之槌	63	57	99	1			2						1	400	1			259000	25900		1	1	74	1	4	1	3	100	60	103	115																																																						1	畴钢公扁	13	茄颊敌扁	12													
3228	审判之槌	63	57	99	1			2						1	300	2	16750848		310800	31080		1	2	89	2	6	2	4	100	60	107	119																																																						3	饭绢公扁	33	茄颊敌扁	13													
3229	堕落之槌	63	57	99	1			2						1	100	3	10503406		362600	36260		1	3	104	4	8	3	5	100	60	111	123																																																						5	蜡聪农公扁	53	茄颊敌扁	14													
4023	堕落之槌	63	75	99	1			2						20	100	4	11968874		362600	36260		1	3	133	6	8	4	5	100	60	154	174																																																						7	郡府飘公扁	73	茄颊敌扁	14													
3230	噩梦之槌	71	65	99	1			2						1	400	1			319000	31900		1	1	74	1	4	1	3	100	60	120	132																																																						1	畴钢公扁	13	茄颊敌扁	13													
3231	骨髓搅拌机	71	65	99	1			2						1	300	2	16750848		382800	38280		1	2	89	2	6	2	4	100	60	124	136																																																						3	饭绢公扁	33	茄颊敌扁	14													
3232	废弃村钉头棒	71	65	99	1			2						1	100	3	10503406		446600	44660		1	3	104	4	8	3	5	100	60	128	140																																																						5	蜡聪农公扁	53	茄颊敌扁	15													
4024	废弃村钉头棒	71	79	99	1			2						20	100	4	11968874		446600	44660		1	3	133	6	8	4	5	100	60	180	196																																																						7	郡府飘公扁	73	茄颊敌扁	15													
3233	灰色大槌	78	72	99	1			2						1	400	1			435000	43500		1	1	74	1	4	1	3	100	60	138	150																																																										13													
3234	首领大槌	78	72	99	1			2						1	300	2	16750848		522000	52200		1	2	89	2	6	2	4	100	60	142	154																																																										14													
3235	卓越大槌	78	72	99	1			2						1	100	3	10503406		609000	60900		1	3	104	4	8	3	5	100	60	146	158																																																										15													
494	双手剑	1	1	6	1			4						1	400	1			30	15		2	1	35	1	4	1	3	150	56	7	25																																																						1	畴钢公扁	15	剧颊八	8													
1914	斩铁剑	1	1	6	1			4						1	300	2	16750848		800	80		2	2	42	2	6	2	4	150	56	11	29																																																						3	饭绢公扁	35	剧颊八	9													
520	精致双手剑	11	5	16	1			4						1	400	1			2000	200		2	1	35	1	4	1	3	150	56	15	32																					       																																	1	畴钢公扁	15	剧颊八	8													
1915	勇者宽刃剑	11	5	16	1			4						1	300	2	16750848		2400	240		2	2	42	2	6	2	4	150	56	19	36																																																						3	饭绢公扁	35	剧颊八	9													
1916	克林森巨剑	11	5	16	1			4						1	100	3	10503406		2800	280		2	3	49	4	8	3	5	150	56	23	40																																																						5	蜡聪农公扁	55	剧颊八	10													
4025	克林森巨剑	1			1			4						20	100	4	11968874		2800	280		2	3	62	6	8	4	5	150	56	42	66																																																						7	郡府飘公扁	75	剧颊八	10													
521	撕裂巨剑	20	14	25	1			4						1	400	1			6000	600		2	1	35	1	4	1	3	150	56	26	44																																																						1	畴钢公扁	15	剧颊八	9													
1917	切裂巨剑	20	14	25	1			4						1	300	2	16750848		7200	720		2	2	42	2	6	2	4	150	56	30	48																																																						3	饭绢公扁	35	剧颊八	10													
1918	黄金巨剑	20	14	25	1			4						1	100	3	10503406		8400	840		2	3	49	4	8	3	5	150	56	34	52																																																						5	蜡聪农公扁	55	剧颊八	11													
4026	黄金巨剑	1			1			4						20	100	4	11968874		8400	840		2	3	62	6	8	4	5	150	56	59	86																																																						7	郡府飘公扁	75	剧颊八	11													
2	宽刃剑	29	23	34	1			4						1	400	1			21000	2100		2	1	35	1	4	1	3	150	56	40	57																																																						1	畴钢公扁	15	剧颊八	10													
492	精致宽刃剑	29	23	34	1			4						1	300	2	16750848		25200	2520		2	2	42	2	6	2	4	150	56	44	61																																																						3	饭绢公扁	35	剧颊八	11													
1919	双手重剑	29	23	34	1			4						1	100	3	10503406		29400	2940		2	3	49	4	8	3	5	150	56	48	65																																																						5	蜡聪农公扁	55	剧颊八	12													
4027	双手重剑	1			1			4						20	100	4	11968874		29400	2940		2	3	62	6	8	4	5	150	56	78	105																																																						7	郡府飘公扁	75	剧颊八	12													
519	米斯特重剑	38	32	43	1			4						1	400	1			63000	6300		2	1	35	1	4	1	3	150	56	55	73																																																						1	畴钢公扁	15	剧颊八	10													
1920	骑士枪剑	38	32	43	1			4						1	300	2	16750848		75600	7560		2	2	42	2	6	2	4	150	56	59	77																																																						3	饭绢公扁	35	剧颊八	11													
1921	利卡索重剑	38	32	43	1			4						1	100	3	10503406		88200	8820		2	3	49	4	8	3	5	150	56	63	81																																																						5	蜡聪农公扁	55	剧颊八	12													
4028	利卡索重剑	38	32	43	1			4						20	100	4	11968874		88200	8820		2	3	62	6	8	4	5	150	56	82	108																																																						7	郡府飘公扁	75	剧颊八	12													
37	双手战剑	47	41	52	1			4						1	400	1			160000	16000		2	1	69	1	4	1	3	150	56	73	90																																																						1	畴钢公扁	15	剧颊八	11													
1922	埃利希安战剑	47	41	52	1			4						1	300	2	16750848		192000	19200		2	2	83	2	6	2	4	150	56	77	94																																																						3	饭绢公扁	35	剧颊八	12													
1923	罗德普兰战剑	47	41	52	1			4						1	100	3	10503406		224000	22400		2	3	97	4	8	3	5	150	56	81	98																																																						5	蜡聪农公扁	55	剧颊八	13													
4029	罗德普兰战剑	47	41	52	1			4						20	100	4	11968874		224000	22400		2	3	124	6	8	4	5	150	56	100	132																																																						7	郡府飘公扁	75	剧颊八	13													
3236	黄金之星	55	49	60	1			4						1	400	1			215000	21500		2	1	69	1	4	1	3	150	56	90	108																																																						1	畴钢公扁	15	剧颊八	11													
3237	基里安战剑	55	49	60	1			4						1	300	2	16750848		258000	25800		2	2	83	2	6	2	4	150	56	94	112																																																						3	饭绢公扁	35	剧颊八	12													
3238	霸者之刃	55	49	60	1			4						1	100	3	10503406		301000	30100		2	3	97	4	8	3	5	150	56	98	116																																																						5	蜡聪农公扁	55	剧颊八	13													
4030	霸者之刃	55	49	60	1			4						20	100	4	11968874		301000	30100		2	3	124	6	8	4	5	150	56	134	162																																																						7	郡府飘公扁	75	剧颊八	13													
3239	古象牙战剑	63	57	68	1			4						1	400	1			259000	25900		2	1	69	1	4	1	3	150	56	108	125																																																						1	畴钢公扁	15	剧颊八	12													
3240	沃西战剑	63	57	68	1			4						1	300	2	16750848		310800	31080		2	2	83	2	6	2	4	150	56	112	129																																																						3	饭绢公扁	35	剧颊八	13													
3241	暗夜骑士剑	63	57	68	1			4						1	100	3	10503406		362600	36260		2	3	97	4	8	3	5	150	56	116	133																																																						5	蜡聪农公扁	55	剧颊八	14													
4031	暗夜骑士剑	63	75	99	1			4						20	100	4	11968874		362600	36260		2	3	124	6	8	4	5	150	56	164	185																																																						7	郡府飘公扁	75	剧颊八	14													
3242	城堡重剑	71	65	99	1			4						1	400	1			319000	31900		2	1	69	1	4	1	3	150	56	127	144																																																						1	畴钢公扁	15	剧颊八	13													
3243	恶魔之牙	71	65	99	1			4						1	300	2	16750848		382800	38280		2	2	83	2	6	2	4	150	56	131	148																																																						3	饭绢公扁	35	剧颊八	14													
3244	黑龙斩铁剑	71	65	99	1			4						1	100	3	10503406		446600	44660		2	3	97	4	8	3	5	150	56	135	152																																																						5	蜡聪农公扁	55	剧颊八	15													
4032	黑龙斩铁剑	71	79	99	1			4						20	100	4	11968874		446600	44660		2	3	124	6	8	4	5	150	56	190	215																																																						7	郡府飘公扁	75	剧颊八	15													
3245	骑将枪剑	78	72	99	1			4						1	400	1			435000	43500		2	1	69	1	4	1	3	150	56	146	163																																																										13													
3246	灵魂守护者	78	72	99	1			4						1	300	2	16750848		522000	52200		2	2	83	2	6	2	4	150	56	150	167																																																										14													
3247	命运毁灭者	78	72	99	1			4						1	100	3	10503406		609000	60900		2	3	97	4	8	3	5	150	56	154	171																																																										15													
13	护卫之斧	1	1	6	1			8						1	400	1			30	15		2	1	34	1	4	1	3	150	55	5	28																																																						1	畴钢公扁	14	剧颊且滚靛	8													
1924	高级护卫之斧	1	1	6	1			8						1	300	2	16750848		800	80		2	2	41	2	6	2	4	150	55	9	32																																																						3	饭绢公扁	34	剧颊且滚靛	9													
27	战斧	11	5	16	1			8						1	400	1			2000	200		2	1	34	1	4	1	3	150	55	12	35																																																						1	畴钢公扁	14	剧颊且滚靛	8													
